"route_id","total_schedule_duration","date","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"T100",19.35,2025-07-21,"2025-07",238,234,4,0,0.9832,-0.0169,0.0012,0.0137685824084566,0.9988,-0.0412,0.9596
"T100",37.8666666666667,2025-08-07,"2025-08",261,257,0,4,0.9847,-0.0154,0.0219,0.0758360669217085,0.9781,-0.0443,0.9567
"T100",19.35,2025-09-12,"2025-09",211,207,0,4,0.981,-0.0191,0.0101,0.0642048617735629,0.9899,-0.0457,0.9553
"T100",19.35,2025-10-29,"2025-10",221,218,1,2,0.9864,-0.0137,0.0051,0.0351029065200283,0.9949,-0.0384,0.9623
"T100",18.5166666666667,2025-11-19,"2025-11",121,120,0,1,0.9917,-0.0083,0.0496,0.0240511274856987,0.9504,-0.0457,0.9553
"T101",54.5833333333333,2025-07-24,"2025-07",470,443,26,1,0.9426,-0.0592,0.0284,0.117356083167471,0.9716,-0.0967,0.9078
"T101",55.3833333333333,2025-08-05,"2025-08",482,450,25,7,0.9336,-0.0687,0.035,0.138552832466952,0.965,-0.1098,0.896
"T101",29.6166666666667,2025-09-04,"2025-09",483,449,16,18,0.9296,-0.073,0.0833,0.18862774685623,0.9167,-0.1376,0.8714
"T101",29.6166666666667,2025-10-30,"2025-10",474,448,12,14,0.9451,-0.0564,0.0912,0.130729957310716,0.9088,-0.1234,0.8839
"T101",29.6166666666667,2025-11-15,"2025-11",81,73,7,1,0.9012,-0.104,0.0494,0.0328974578551798,0.9506,-0.1563,0.8553
"T102",98.9,2025-07-23,"2025-07",632,601,23,8,0.9509,-0.0503,0.0826,0.175731405706456,0.9174,-0.1112,0.8948
"T102",115.333333333333,2025-08-20,"2025-08",975,931,33,11,0.9549,-0.0462,0.0759,0.519697574023733,0.9241,-0.1025,0.9026
"T102",73.2166666666667,2025-09-25,"2025-09",812,765,39,8,0.9421,-0.0596,0.0481,0.241088492232534,0.9519,-0.1045,0.9008
"T102",57.55,2025-10-06,"2025-10",364,350,12,2,0.9615,-0.0392,0.0526,0.0890550302643518,0.9474,-0.083,0.9204
"T102",58.8,2025-11-08,"2025-11",109,102,6,1,0.9358,-0.0664,0.0477,0.537827421762781,0.9523,-0.112,0.894
"T103",25.6833333333333,2025-07-14,"2025-07",589,558,27,4,0.9474,-0.0541,0.0368,0.0389673959704514,0.9632,-0.0937,0.9106
"T103",48.6166666666666,2025-08-15,"2025-08",739,693,34,12,0.9378,-0.0643,0.0345,0.106988342139909,0.9655,-0.1046,0.9007
"T103",45.8666666666667,2025-09-18,"2025-09",767,724,41,2,0.9439,-0.0577,0.0734,0.0608152154874305,0.9266,-0.114,0.8923
"T103",25.6833333333333,2025-10-06,"2025-10",457,427,24,6,0.9344,-0.0679,0.0379,0.0654343284405177,0.9621,-0.1101,0.8957
"T103",22.9333333333333,2025-11-15,"2025-11",54,50,4,0,0.9259,-0.077,0.0308,0.0553491168252334,0.9692,-0.1182,0.8885
"T104",9.11666666666667,2025-07-07,"2025-07",78,73,0,5,0.9359,-0.0662,0.0852,0.553079274107513,0.9148,-0.1308,0.8774
"T104",14.6333333333333,2025-08-15,"2025-08",101,97,0,4,0.9604,-0.0404,0.1437,0.593286181647047,0.8563,-0.1464,0.8638
"T104",9.11666666666667,2025-09-19,"2025-09",90,84,0,6,0.9333,-0.069,0.1408,0.668590978479087,0.8592,-0.1766,0.8381
"T104",9.11666666666667,2025-10-22,"2025-10",78,72,1,5,0.9231,-0.08,0.0799,0.957405142800862,0.9201,-0.1438,0.8661
"T104",17.8166666666667,2025-11-20,"2025-11",114,106,0,8,0.9298,-0.0728,0.1242,0.614123065924086,0.8758,-0.1669,0.8463
"T105",58.0833333333333,2025-07-12,"2025-07",111,107,4,0,0.964,-0.0367,0.0135,0.0256964950440689,0.9865,-0.0671,0.9351
"T105",59.7333333333333,2025-08-13,"2025-08",482,466,13,3,0.9668,-0.0338,0.0206,0.0295737711234387,0.9794,-0.0653,0.9368
"T105",95.2,2025-09-10,"2025-09",268,259,7,2,0.9664,-0.0342,0.0208,0.0534862924333036,0.9792,-0.0656,0.9365
"T105",58.15,2025-10-04,"2025-10",107,103,4,0,0.9626,-0.0381,0.014,0.511950903129767,0.986,-0.0685,0.9338
"T105",59.7333333333333,2025-11-15,"2025-11",91,88,2,1,0.967,-0.0335,0.0067,0.0151553708851571,0.9933,-0.0618,0.9401
"T106",20.3166666666667,2025-07-28,"2025-07",334,325,5,4,0.9731,-0.0273,0.0094,0.0762283815507463,0.9906,-0.055,0.9465
"T106",40.6333333333333,2025-08-19,"2025-08",385,376,6,3,0.9766,-0.0237,0.0071,0.0192280728263491,0.9929,-0.0502,0.951
"T106",40.05,2025-09-10,"2025-09",348,340,6,2,0.977,-0.0233,0.0025,0.014086554386817,0.9975,-0.0491,0.9521
"T106",40.6333333333333,2025-10-30,"2025-10",350,340,8,2,0.9714,-0.029,0.0285,0.0102202521420048,0.9715,-0.0621,0.9398
"T106",19.85,2025-11-15,"2025-11",39,38,1,0,0.9744,-0.026,0.0105,0.0258151764149179,0.9895,-0.054,0.9474
"T107",25.1333333333333,2025-07-24,"2025-07",264,259,1,4,0.9811,-0.0191,0.0489,0.0801880290317701,0.9511,-0.0578,0.9438
"T107",25.5833333333333,2025-08-05,"2025-08",276,271,0,5,0.9819,-0.0183,0.0213,0.0522102938568189,0.9787,-0.0473,0.9538
"T107",25.1333333333333,2025-09-19,"2025-09",271,267,1,3,0.9852,-0.0149,0.0301,0.0392602538992285,0.9699,-0.0457,0.9553
"T107",25.1333333333333,2025-10-17,"2025-10",263,258,1,4,0.981,-0.0192,0.0247,0.0420461952911502,0.9753,-0.0494,0.9518
"T107",25.1333333333333,2025-11-06,"2025-11",198,194,1,3,0.9798,-0.0204,0.0367,0.0548007518196603,0.9633,-0.0545,0.947
"T108",65.6333333333333,2025-07-18,"2025-07",705,639,63,3,0.9064,-0.0983,0.0852,0.0192068727312376,0.9148,-0.1682,0.8452
"T108",47.9666666666667,2025-08-22,"2025-08",647,584,54,9,0.9026,-0.1024,0.0939,0.135801226232144,0.9061,-0.1781,0.8369
"T108",32.8166666666667,2025-09-13,"2025-09",68,62,6,0,0.9118,-0.0924,0.1011,0.0654910779131928,0.8989,-0.1719,0.8421
"T108",52.1833333333333,2025-10-28,"2025-10",285,257,26,2,0.9018,-0.1034,0.0895,0.0943845411071114,0.9105,-0.1769,0.8379
"T108",65.6333333333333,2025-11-11,"2025-11",613,550,61,2,0.8972,-0.1084,0.1002,0.0637325837647693,0.8998,-0.1895,0.8274
"T109",32.5333333333333,2025-07-21,"2025-07",462,410,45,7,0.8874,-0.1194,0.082,0.0408526997507273,0.918,-0.1905,0.8265
"T109",65.0666666666667,2025-08-29,"2025-08",573,502,57,14,0.8761,-0.1323,0.1177,0.0735215732860875,0.8823,-0.2303,0.7943
"T109",32.5333333333333,2025-09-27,"2025-09",53,47,6,0,0.8868,-0.1201,0.0968,0.0656615228250925,0.9032,-0.2006,0.8182
"T109",65.0666666666667,2025-10-23,"2025-10",546,485,54,7,0.8883,-0.1185,0.1072,0.0648260560150125,0.8928,-0.2063,0.8136
"T109",32.5333333333333,2025-11-15,"2025-11",64,56,8,0,0.875,-0.1335,0.1064,0.102597118543034,0.8936,-0.223,0.8001
"T110",22.2666666666667,2025-07-07,"2025-07",289,264,25,0,0.9135,-0.0905,0.0262,0.0599363867432835,0.9738,-0.1326,0.8758
"T110",22.2666666666667,2025-08-14,"2025-08",375,342,33,0,0.912,-0.0921,0.0293,0.0610132444638047,0.9707,-0.1349,0.8738
"T110",44.5333333333333,2025-09-04,"2025-09",379,346,33,0,0.9129,-0.0911,0.0213,0.0174025964246385,0.9787,-0.1317,0.8766
"T110",44.05,2025-10-23,"2025-10",339,308,31,0,0.9086,-0.0959,0.0312,0.0207815113835499,0.9688,-0.1401,0.8693
"T110",44.5333333333333,2025-11-14,"2025-11",364,333,31,0,0.9148,-0.089,0.0231,0.0136109061662575,0.9769,-0.1298,0.8783
"T111",33.8333333333333,2025-07-23,"2025-07",331,303,26,2,0.9154,-0.0884,0.0512,0.0832210167885951,0.9488,-0.1388,0.8704
"T111",18.6,2025-08-19,"2025-08",321,296,23,2,0.9221,-0.0811,0.0483,0.063918224799649,0.9517,-0.1294,0.8786
"T111",18.6,2025-09-15,"2025-09",213,193,20,0,0.9061,-0.0986,0.0777,0.101990233885265,0.9223,-0.1639,0.8488
"T111",18.5,2025-10-11,"2025-10",46,42,4,0,0.913,-0.091,0.0975,0.124821999930568,0.9025,-0.1676,0.8457
"T111",18.6,2025-11-24,"2025-11",250,232,14,4,0.928,-0.0747,0.0414,0.0562122474792342,0.9586,-0.1188,0.888
"T112",18.8666666666667,2025-07-29,"2025-07",214,214,0,0,1,0,0,0.00241326462573961,1,-0.0218,0.9784
"T112",9.43333333333333,2025-08-30,"2025-08",36,36,0,0,1,0,0,0.00663569388484229,1,-0.0218,0.9784
"T112",9.43333333333333,2025-09-30,"2025-09",173,173,0,0,1,0,0,0.0131122018347996,1,-0.0218,0.9784
"T112",17.95,2025-10-29,"2025-10",166,166,0,0,1,0,0,0.0173498516952207,1,-0.0218,0.9784
"T112",9.43333333333333,2025-11-29,"2025-11",35,35,0,0,1,0,0,0.0166906530729028,1,-0.0218,0.9784
"T113",18.5333333333333,2025-07-25,"2025-07",133,131,2,0,0.985,-0.0152,0.0044,0.00875991420426575,0.9956,-0.0403,0.9605
"T113",10.4333333333333,2025-08-19,"2025-08",209,205,4,0,0.9809,-0.0193,0.0032,0.0020186972188861,0.9968,-0.0446,0.9564
"T113",19.7,2025-09-24,"2025-09",221,218,2,1,0.9864,-0.0137,0.0055,0.00235745810050829,0.9945,-0.0387,0.962
"T113",10.4333333333333,2025-10-31,"2025-10",150,148,2,0,0.9867,-0.0134,0.001,0.00312563839633048,0.999,-0.0377,0.963
"T113",19.2,2025-11-11,"2025-11",204,200,4,0,0.9804,-0.0198,0.0013,0.00361884880406279,0.9987,-0.0446,0.9564
"T114",45.7833333333333,2025-07-26,"2025-07",45,40,4,1,0.8889,-0.1178,0.1095,0.156925433737958,0.8905,-0.2069,0.8131
"T114",77.25,2025-08-27,"2025-08",468,420,44,4,0.8974,-0.1082,0.1039,0.346813190615085,0.8961,-0.1922,0.8251
"T114",58.1,2025-09-26,"2025-09",437,391,38,8,0.8947,-0.1112,0.1034,0.391541911036132,0.8966,-0.1951,0.8228
"T114",52.8666666666667,2025-10-18,"2025-10",47,42,5,0,0.8936,-0.1125,0.0974,0.424405021883578,0.9026,-0.1927,0.8247
"T114",73.9666666666667,2025-11-11,"2025-11",350,311,34,5,0.8886,-0.1181,0.0947,0.179397602362276,0.9053,-0.1969,0.8213
"T115",26.8333333333333,2025-07-12,"2025-07",61,56,5,0,0.918,-0.0855,0.0127,0.00871406826660118,0.9873,-0.1234,0.8839
"T115",53.6666666666667,2025-08-29,"2025-08",641,587,54,0,0.9158,-0.088,0.0232,0.0826387196453054,0.9768,-0.1287,0.8792
"T115",51.7333333333333,2025-09-24,"2025-09",628,575,52,1,0.9156,-0.0882,0.0241,0.525451852739241,0.9759,-0.129,0.879
"T115",58.4,2025-10-28,"2025-10",489,450,39,0,0.9202,-0.0831,0.0199,0.121361456877316,0.9801,-0.122,0.8851
"T115",31.5666666666667,2025-11-10,"2025-11",512,468,44,0,0.9141,-0.0899,0.0284,0.0818171249393019,0.9716,-0.1319,0.8764
"T117",23.1833333333333,2025-07-16,"2025-07",312,311,1,0,0.9968,-0.0032,2e-04,0.0070841482688575,0.9998,-0.0255,0.9748
