"route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"T100",19.35,"2025-04",257,253,0,4,0.9844,-0.0157,0.0214,0.0103371267998506,0.9786,-0.0443,0.9567
"T100",19.35,"2025-05",267,264,1,2,0.9888,-0.0113,0.0256,0.0144951242276024,0.9744,-0.0406,0.9602
"T100",19.35,"2025-06",250,247,1,2,0.988,-0.0121,0.0077,0.0154593732803831,0.9923,-0.0369,0.9638
"T101",29.6166666666667,"2025-04",517,482,28,7,0.9323,-0.0701,0.043,0.0257037934943463,0.957,-0.1143,0.892
"T101",29.6166666666667,"2025-05",455,413,38,4,0.9077,-0.0968,0.0581,0.00930793115668473,0.9419,-0.1515,0.8594
"T101",29.6166666666667,"2025-06",512,480,30,2,0.9375,-0.0645,0.0284,0.0889714324346511,0.9716,-0.1028,0.9023
"T102",59.3833333333333,"2025-04",709,672,31,6,0.9478,-0.0536,0.0437,0.0224378276825345,0.9563,-0.0956,0.9088
"T102",59,"2025-05",1079,1019,44,16,0.9444,-0.0572,0.0602,0.252688758409181,0.9398,-0.1068,0.8987
"T102",59.3833333333333,"2025-06",1195,1135,50,10,0.9498,-0.0515,0.0391,0.154262735738178,0.9609,-0.0916,0.9125
"T103",25.6833333333333,"2025-04",868,815,45,8,0.9389,-0.063,0.027,0.00490665647643869,0.973,-0.1006,0.9043
"T103",25.6833333333333,"2025-05",877,828,48,1,0.9441,-0.0575,0.0202,0.0392778605536291,0.9798,-0.0921,0.912
"T103",25.6833333333333,"2025-06",592,558,33,1,0.9426,-0.0591,0.014,0.0510622427198311,0.986,-0.0925,0.9116
"T104",9.11666666666667,"2025-04",119,114,2,3,0.958,-0.0429,0.0431,0.0276766196956525,0.9569,-0.0831,0.9203
"T104",9.11666666666667,"2025-05",113,109,0,4,0.9646,-0.036,0.0662,0.0360656155690379,0.9338,-0.0854,0.9181
"T104",9.11666666666667,"2025-06",113,105,0,8,0.9292,-0.0734,0.0685,0.0861230121185637,0.9315,-0.1298,0.8783
"T105",58.9333333333333,"2025-04",225,215,9,1,0.9556,-0.0455,0.0179,0.0293823926867776,0.9821,-0.0779,0.9251
"T105",59.1,"2025-05",531,516,12,3,0.9718,-0.0287,0.0143,0.0161284677675058,0.9857,-0.0579,0.9437
"T105",59.7333333333333,"2025-06",495,480,11,4,0.9697,-0.0308,0.0271,0.0107472613130506,0.9729,-0.0634,0.9386
"T106",20.3166666666667,"2025-04",366,359,3,4,0.9809,-0.0193,0.0352,0.0100599453278833,0.9648,-0.053,0.9484
"T106",20.3166666666667,"2025-05",393,383,6,4,0.9746,-0.0258,0.0117,0.0083193571444375,0.9883,-0.0539,0.9475
"T106",20.3166666666667,"2025-06",220,214,5,1,0.9727,-0.0277,0.0105,0.00469067757795725,0.9895,-0.0554,0.9461
"T107",13.0166666666667,"2025-04",241,237,0,4,0.9834,-0.0167,0.0127,0.0387745227064256,0.9873,-0.0433,0.9576
"T107",13.0166666666667,"2025-05",287,283,0,4,0.9861,-0.014,0.0656,0.0417998790681252,0.9344,-0.0596,0.9421
"T107",13.0166666666667,"2025-06",297,293,0,4,0.9865,-0.0136,0.046,0.0224037277599925,0.954,-0.0499,0.9513
"T108",32.8166666666667,"2025-04",687,621,57,9,0.9039,-0.101,0.0896,0.0093868406707357,0.9104,-0.1739,0.8404
"T108",32.8166666666667,"2025-05",470,426,39,5,0.9064,-0.0983,0.0776,0.0660921106329045,0.9224,-0.1635,0.8492
"T108",32.8166666666667,"2025-06",699,633,58,8,0.9056,-0.0992,0.09,0.0125812679843316,0.91,-0.1719,0.8421
"T109",32.5333333333333,"2025-04",606,533,62,11,0.8795,-0.1284,0.1042,0.010564300471136,0.8958,-0.2156,0.8061
"T109",32.5333333333333,"2025-05",610,537,66,7,0.8803,-0.1275,0.1031,0.0131495455986338,0.8969,-0.2136,0.8077
"T109",32.5333333333333,"2025-06",575,505,64,6,0.8783,-0.1298,0.1143,0.0512664813037052,0.8857,-0.2245,0.7989
"T110",22.2666666666667,"2025-04",429,392,37,0,0.9138,-0.0902,0.0222,0.00970254834795707,0.9778,-0.1308,0.8774
"T110",22.2666666666667,"2025-05",431,393,38,0,0.9118,-0.0923,0.0238,0.0331330352062412,0.9762,-0.1335,0.875
"T110",22.2666666666667,"2025-06",416,383,32,1,0.9207,-0.0827,0.0211,0.0295787194326403,0.9789,-0.122,0.8851
"T111",18.6,"2025-04",395,369,25,1,0.9342,-0.0681,0.0421,0.0103082625974399,0.9579,-0.1118,0.8942
