"route_short_name","route_long_name","route_id","total_schedule_duration","date","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",61.4666666666667,2025-07-22,"2025-07",979,828,105,46,0.8458,-0.1675,0.1407,0.119157542608407,0.8593,-0.2903,0.748
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",61.5333333333333,2025-08-11,"2025-08",967,795,133,39,0.8221,-0.1959,0.124,0.0858129513479616,0.876,-0.3069,0.7357
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",61.5333333333333,2025-09-11,"2025-09",868,729,100,39,0.8399,-0.1745,0.1265,1.2731875846223,0.8735,-0.2868,0.7507
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",59.1166666666667,2025-10-03,"2025-10",375,333,37,5,0.888,-0.1188,0.147,0.201888918774185,0.853,-0.246,0.7819
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",32.3,2025-11-05,"2025-11",56,50,0,6,0.8929,-0.1133,0.1044,0.196172653547838,0.8956,-0.2096,0.8109
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,2025-07-22,"2025-07",590,514,73,3,0.8712,-0.1379,0.0473,0.0118666620405314,0.9527,-0.2093,0.8112
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,2025-08-21,"2025-08",641,557,74,10,0.869,-0.1405,0.0346,0.0169550470081218,0.9654,-0.2081,0.8121
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,2025-09-02,"2025-09",343,298,42,3,0.8688,-0.1406,0.0276,0.0408102995021422,0.9724,-0.2068,0.8132
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",34.1666666666667,2025-10-03,"2025-10",200,174,21,5,0.87,-0.1393,0.0781,0.122708528635951,0.9219,-0.2224,0.8006
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,2025-07-07,"2025-07",415,292,122,1,0.7036,-0.3515,0.081,0.00714793151206598,0.919,-0.4399,0.6441
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,2025-08-27,"2025-08",412,280,132,0,0.6796,-0.3862,0.0761,0.00632476237084201,0.9239,-0.4731,0.6231
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,2025-09-18,"2025-09",368,253,115,0,0.6875,-0.3747,0.0889,0.0327334218970597,0.9111,-0.4673,0.6267
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",38.6166666666667,2025-10-02,"2025-10",165,115,50,0,0.697,-0.361,0.0731,0.0189891196917252,0.9269,-0.4462,0.6401
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.3,2025-07-14,"2025-07",423,418,1,4,0.9882,-0.0119,0.0233,0.0100346179455051,0.9767,-0.0746,0.9281
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.3,2025-08-14,"2025-08",609,600,4,5,0.9852,-0.0149,0.0073,0.0138577174647679,0.9927,-0.0757,0.9271
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.0166666666667,2025-09-12,"2025-09",463,455,3,5,0.9827,-0.0174,0.0276,0.585912623799208,0.9724,-0.0815,0.9217
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",31.1,2025-10-02,"2025-10",175,173,2,0,0.9886,-0.0115,6e-04,0.0577324889276201,0.9994,-0.0716,0.9309
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",27.1,2025-07-21,"2025-07",370,342,3,25,0.9243,-0.0787,0.224,0.0840686344390266,0.776,-0.2833,0.7533
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",26.7666666666667,2025-08-26,"2025-08",487,452,6,29,0.9281,-0.0746,0.1815,0.186477521178189,0.8185,-0.232,0.7929
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",27.1,2025-09-18,"2025-09",356,331,8,17,0.9298,-0.0728,0.1072,0.19968210963702,0.8928,-0.1701,0.8436
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",25.9333333333333,2025-10-30,"2025-10",56,53,2,1,0.9464,-0.0551,0.0757,0.64616421241954,0.9243,-0.1357,0.8731
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.5166666666667,2025-07-14,"2025-07",399,385,0,14,0.9649,-0.0357,0.0739,0.160192326601421,0.9261,-0.1148,0.8915
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.5166666666667,2025-08-01,"2025-08",260,253,0,7,0.9731,-0.0273,0.114,0.0498028073410287,0.886,-0.1282,0.8797
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.5166666666667,2025-09-02,"2025-09",308,294,0,14,0.9545,-0.0465,0.1288,4.65248909824818,0.8712,-0.1578,0.854
"PJ06","Bandar Utama ~ Damansara Damai","P0060",25.0333333333333,2025-10-15,"2025-10",66,64,0,2,0.9697,-0.0308,0.0437,1.0708833939285,0.9563,-0.0992,0.9056
"PJ06","Bandar Utama ~ Damansara Damai","P0060",25.9666666666667,2025-11-03,"2025-11",83,80,0,3,0.9639,-0.0368,0.0775,NA,0.9225,-0.1176,0.8891
"P101","Kompleks F ~ Presint 5","P1010",44.2833333333333,2025-07-31,"2025-07",154,137,6,11,0.8896,-0.117,14.4036,5.88832806335547,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",21.7166666666667,2025-08-29,"2025-08",20,16,1,3,0.8,-0.2231,20.2875,12.9040401293733,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",25.4833333333333,2025-09-30,"2025-09",74,71,1,2,0.9595,-0.0414,10.4427,9.17241776234206,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",32.35,2025-10-31,"2025-10",115,110,3,2,0.9565,-0.0445,3.7617,5.08794064503321,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",40.15,2025-11-28,"2025-11",105,95,3,7,0.9048,-0.1001,6.1395,4.95677111346607,0,NA,0
"P102","Presint 11 ~ Kompleks E","P1020",51.6666666666667,2025-07-21,"2025-07",273,195,77,1,0.7143,-0.3365,0.1055,0.100197746379081,0.8945,-0.4379,0.6454
"P102","Presint 11 ~ Kompleks E","P1020",51.4166666666667,2025-08-25,"2025-08",234,167,67,0,0.7137,-0.3373,0.0942,0.0307157218933329,0.9058,-0.4321,0.6491
"P102","Presint 11 ~ Kompleks E","P1020",50.1166666666667,2025-09-23,"2025-09",248,177,68,3,0.7137,-0.3373,0.135,0.0463116961750957,0.865,-0.4591,0.6319
"P102","Presint 11 ~ Kompleks E","P1020",48.5833333333333,2025-10-14,"2025-10",168,124,42,2,0.7381,-0.3037,0.138,0.0245819069950879,0.862,-0.4272,0.6523
"P102","Presint 11 ~ Kompleks E","P1020",52.6833333333333,2025-11-10,"2025-11",228,160,67,1,0.7018,-0.3542,0.0843,0.290194957456764,0.9157,-0.4444,0.6412
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",45.2,2025-07-30,"2025-07",416,332,59,25,0.7981,-0.2256,4.1517,3.39519297786687,0,NA,0
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",45.9333333333334,2025-08-28,"2025-08",222,180,29,13,0.8108,-0.2097,6.8517,4.97051827332686,0,NA,0
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",44.8,2025-09-29,"2025-09",166,124,34,8,0.747,-0.2917,0.3792,3.45004805864036,0.6208,-0.7525,0.4712
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",40.85,2025-10-09,"2025-10",83,59,21,3,0.7108,-0.3413,0.2769,0.619935991267162,0.7231,-0.6227,0.5365
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",45.9333333333334,2025-11-20,"2025-11",291,227,45,19,0.7801,-0.2484,0.5651,1.41617490514355,0.4349,-1.1744,0.309
"P104","Dataran Gemilang ~ PICC via Presint 5","P1040",13.2666666666667,2025-07-30,"2025-07",164,150,0,14,0.9146,-0.0892,1.074,11.5743705630138,0,NA,0
