"route_short_name","route_long_name","route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",62.5,"2025-04",998,827,127,44,0.8287,-0.1879,0.1582,0.105458295525948,0.8418,-0.3237,0.7235
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",62.5,"2025-05",1038,854,139,45,0.8227,-0.1951,0.1485,0.105279492952634,0.8515,-0.3233,0.7238
"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",62.5,"2025-06",1178,960,180,38,0.8149,-0.2046,0.1158,0.0340949873407324,0.8842,-0.3102,0.7333
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,"2025-04",459,392,63,4,0.854,-0.1578,0.0496,0.0455794826440059,0.9504,-0.2334,0.7918
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,"2025-05",687,600,78,9,0.8734,-0.1354,0.0445,0.00889503436551182,0.9555,-0.2092,0.8112
"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",36.35,"2025-06",598,522,66,10,0.8729,-0.1359,0.0437,0.0124542279615256,0.9563,-0.2094,0.8111
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,"2025-04",315,205,110,0,0.6508,-0.4296,0.0917,0.00873486173467042,0.9083,-0.5274,0.5901
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,"2025-05",420,283,137,0,0.6738,-0.3948,0.0778,0.00630623068516729,0.9222,-0.4857,0.6153
"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",39.2666666666667,"2025-06",425,287,138,0,0.6753,-0.3926,0.0796,0.00919803367733625,0.9204,-0.4842,0.6162
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.3,"2025-04",575,567,5,3,0.9861,-0.014,0.0037,0.0082357640522182,0.9963,-0.08,0.9231
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.3,"2025-05",518,510,5,3,0.9846,-0.0156,0.0048,0.0126060591491841,0.9952,-0.0819,0.9214
"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",34.3,"2025-06",538,528,3,7,0.9814,-0.0188,0.0235,0.0165836316359021,0.9765,-0.0861,0.9175
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",25.2166666666667,"2025-04",101,94,2,5,0.9307,-0.0718,0.1684,1.44816184023879,0.8316,-0.2133,0.8079
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",27.1,"2025-05",357,330,3,24,0.9244,-0.0786,0.1793,0.127589414636453,0.8207,-0.2308,0.7939
"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",27.1,"2025-06",486,449,3,34,0.9239,-0.0792,0.1875,0.0674879319277332,0.8125,-0.2392,0.7873
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.5166666666667,"2025-04",307,294,0,13,0.9577,-0.0433,0.1078,2.22063473341252,0.8922,-0.1399,0.8694
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.3166666666667,"2025-05",192,185,0,7,0.9635,-0.0371,0.0471,0.0366113171772684,0.9529,-0.1088,0.8969
"PJ06","Bandar Utama ~ Damansara Damai","P0060",34.5166666666667,"2025-06",333,324,0,9,0.973,-0.0274,0.0662,0.0427715580318345,0.9338,-0.1045,0.9008
"P101","Kompleks F ~ Presint 5","P1010",43.5,"2025-04",123,108,4,11,0.878,-0.1301,18.2263,6.4316059996892,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",43.2666666666667,"2025-05",78,69,3,6,0.8846,-0.1226,17.5089,7.33780241490474,0,NA,0
"P101","Kompleks F ~ Presint 5","P1010",42.0833333333333,"2025-06",100,91,4,5,0.91,-0.0943,9.1022,5.73339187960731,0,NA,0
"P102","Presint 11 ~ Kompleks E","P1020",49.8833333333333,"2025-04",149,96,50,3,0.6443,-0.4396,0.0908,0.389759513155533,0.9092,-0.5374,0.5843
"P102","Presint 11 ~ Kompleks E","P1020",52.6833333333333,"2025-05",319,215,102,2,0.674,-0.3946,0.1081,0.237625645998835,0.8919,-0.5007,0.6061
"P102","Presint 11 ~ Kompleks E","P1020",51.8333333333333,"2025-06",161,110,51,0,0.6832,-0.3809,0.0804,0.0966100283279609,0.9196,-0.4727,0.6233
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",40.65,"2025-04",105,78,21,6,0.7429,-0.2973,11.7011,3.43791685185749,0,NA,0
"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",44.4833333333333,"2025-05",259,189,55,15,0.7297,-0.3151,7.9061,3.42994415517751,0,NA,0
