"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-02,"T100",198,193,2,3,19.35,0.9747,0.974,0.026,-0.0256,0.9487,-0.0572,0.9444,"2025-04"
2025-04-02,"T101",256,248,7,1,29.6166666666667,0.9688,0.9919,0.0081,-0.0317,0.9838,-0.0596,0.9421,"2025-04"
2025-04-02,"T102",709,672,31,6,59.3833333333333,0.9478,0.9563,0.0437,-0.0536,0.9145,-0.0956,0.9088,"2025-04"
2025-04-02,"T103",537,500,36,1,25.6833333333333,0.9311,0.9704,0.0296,-0.0714,0.9416,-0.111,0.8949,"2025-04"
2025-04-02,"T104",90,89,1,0,9.11666666666667,0.9889,0.9893,0.0107,-0.0112,0.9787,-0.0366,0.9641,"2025-04"
2025-04-02,"T105",667,640,19,8,58.9333333333333,0.9595,0.9369,0.0631,-0.0413,0.8778,-0.09,0.9139,"2025-04"
2025-04-02,"T106",240,236,4,0,20.3166666666667,0.9833,0.9979,0.0021,-0.0168,0.9959,-0.0418,0.9591,"2025-04"
2025-04-02,"T107",171,171,0,0,12.5666666666667,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-02,"T108",432,389,41,2,32.8166666666667,0.9005,0.8956,0.1044,-0.1048,0.802,-0.1881,0.8285,"2025-04"
2025-04-02,"T109",366,324,39,3,32.5333333333333,0.8852,0.9093,0.0907,-0.1219,0.8268,-0.1988,0.8197,"2025-04"
2025-04-02,"T110",55,50,5,0,22.2666666666667,0.9091,0.9871,0.0129,-0.0953,0.9744,-0.1345,0.8742,"2025-04"
2025-04-02,"T111",170,157,11,2,18.6,0.9235,0.9537,0.0463,-0.0796,0.9095,-0.1266,0.8811,"2025-04"
2025-04-02,"T112",120,120,0,0,9.43333333333333,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-02,"T113",216,212,4,0,10.4333333333333,0.9815,0.9974,0.0026,-0.0187,0.9947,-0.0435,0.9574,"2025-04"
2025-04-02,"T114",199,174,18,7,57.55,0.8744,0.6711,0.3289,-0.1342,0.4504,-0.52,0.5945,"2025-04"
2025-04-02,"T115",345,320,25,0,31.5666666666667,0.9275,0.9826,0.0174,-0.0752,0.9656,-0.1124,0.8937,"2025-04"
2025-04-02,"T117",296,296,0,0,13.8166666666667,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-02,"T118",252,252,0,0,13.25,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-02,"T119",198,175,20,3,25.8,0.8838,0.9136,0.0864,-0.1235,0.8346,-0.1978,0.8205,"2025-04"
2025-04-02,"T121",43,43,0,0,16.0333333333333,1,1,0,0,1,-0.0218,0.9784,"2025-04"
