"date","route_short_name","route_long_name","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-02,"PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010",755,616,112,27,61.4666666666667,0.8159,0.8492,0.1508,-0.2035,0.7212,-0.3338,0.7162,"2025-04"
2025-04-02,"PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020",501,429,72,0,36.35,0.8563,0.9575,0.0425,-0.1551,0.9168,-0.2289,0.7954,"2025-04"
2025-04-02,"PJ03","Stesen LRT Taman Bahagia ~ SS6 Kelana Park View","P0030",335,216,119,0,38.4833333333333,0.6448,0.891,0.109,-0.4389,0.7938,-0.5462,0.5791,"2025-04"
2025-04-02,"PJ04","Stesen LRT Taman Bahagia ~ Kg Tunku via SS3","P0040",591,576,13,2,34.3,0.9746,0.981,0.019,-0.0257,0.9625,-0.093,0.9112,"2025-04"
2025-04-02,"PJ05","Bandar Utama ~ Stesen LRT Taman Bahagia","P0050",180,173,3,4,26.85,0.9611,0.7911,0.2089,-0.0397,0.6258,-0.2214,0.8014,"2025-04"
2025-04-02,"PJ06","Bandar Utama ~ Damansara Damai","P0060",336,331,0,5,34.3,0.9851,0.9677,0.0323,-0.015,0.9365,-0.0834,0.92,"2025-04"
2025-04-02,"P101","Kompleks F ~ Presint 5","P1010",8,0,0,8,1.61666666666667,0,0,28.3634,-Inf,0,NA,0,"2025-04"
2025-04-02,"P102","Presint 11 ~ Kompleks E","P1020",166,112,54,0,51.3833333333333,0.6747,0.9038,0.0962,-0.3935,0.8168,-0.4927,0.611,"2025-04"
2025-04-02,"P103","Presint 14 via Alamanda ~ Kompleks E","P1030",65,48,12,5,38.6166666666667,0.7385,0,13.9225,-0.3032,0,NA,0,"2025-04"
2025-04-02,"P104","Dataran Gemilang ~ PICC via Presint 5","P1040",35,33,0,2,13.2666666666667,0.9429,0.7595,0.2405,-0.0588,0.5769,-0.2795,0.7562,"2025-04"
2025-04-02,"P105","Dataran Gemilang ~ Kompleks ABCDE","P1050",122,104,4,14,40.6833333333333,0.8525,0,13.9488,-0.1596,0,NA,0,"2025-04"
2025-04-02,"P106","Presint 4 ~ Kompleks E","P1060",91,86,4,1,45.0333333333333,0.9451,0,3.8777,-0.0565,0,NA,0,"2025-04"
2025-04-02,"P108","Terminal Putrajaya Sentral ~ Kompleks ABCDE","P1080",47,38,7,2,36,0.8085,0.0101,0.9899,-0.2126,1e-04,-2.9454,0.0526,"2025-04"
2025-04-02,"DS01(AM)","Stesen LRT Ampang ~ KLCC via AKLEH","R0200",4,2,0,2,12.0166666666667,0.5,0,4.5655,-0.6931,0,NA,0,"2025-04"
2025-04-02,"KJ01","Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi","S0030",472,356,96,20,75.5333333333333,0.7542,0.4134,0.5866,-0.282,0.1709,-1.2848,0.2767,"2025-04"
2025-04-02,"AJ01","Ukay Perdana ~ Taman Melawati via Sg. Sering","S0040",242,92,145,5,65,0.3802,0,3.8944,-0.9671,0,NA,0,"2025-04"
2025-04-02,"BTG1","Hentian Banting ~ Mitsui Outlet , KLIA 2","S0060",93,88,1,4,40.0666666666667,0.9462,0.4014,0.5986,-0.0553,0.1611,-1.0907,0.336,"2025-04"
2025-04-02,"MPS1","Selayang Mutiara ~ Stesen LRT Gombak","S0070",20,13,7,0,47.15,0.65,0.7278,0.2722,-0.4308,0.5297,-0.705,0.4941,"2025-04"
2025-04-02,"PBD1","Stesen MRT Semantan  ~ Damanlela Open CarPark","S0100",6,3,2,1,4.56666666666667,0.5,0.809,0.191,-0.6931,0.6545,-0.873,0.4177,"2025-04"
2025-04-02,"AJ2A","Sri Nilam ~ Taman Cahaya","S1030",66,61,5,0,22.05,0.9242,0.9889,0.0111,-0.0788,0.9778,-0.1463,0.8639,"2025-04"
2025-04-02,"AJ2B","Sri Nilam ~ AEON Big Ampang","S1040",173,134,32,7,29.6166666666667,0.7746,0.9228,0.0772,-0.2555,0.8516,-0.3427,0.7099,"2025-04"
2025-04-02,"AJ03","Stesen LRT Cempaka ~ Bukit Teratai","S1050",234,58,174,2,60,0.2479,0.6467,0.3533,-1.3949,0.4182,-1.8315,0.1602,"2025-04"
2025-04-02,"KJ02","Stesen KTM Bangi ~ Bandar Bukit Mahkota","S1060",60,40,17,3,59.2833333333333,0.6667,0.7867,0.2133,-0.4055,0.6188,-0.6017,0.5479,"2025-04"
2025-04-02,"KJ03","Stesen MRT BTHO ~ Taman Tun Perak","S1070",105,41,60,4,55.8333333333333,0.3905,0.5538,0.4462,-0.9404,0.3067,-1.5665,0.2088,"2025-04"
2025-04-02,"SJ04","KTM Serdang ~ Hospital Serdang","S1080",127,37,82,8,103.733333333333,0.2913,0.144,0.856,-1.2333,0.0207,-3.3191,0.0362,"2025-04"
2025-04-02,"AJ04","Pandan Perdana ~ Hospital Ampang","S1140",84,66,17,1,63.0666666666667,0.7857,0.4889,0.5111,-0.2412,0.239,-1.0176,0.3615,"2025-04"
2025-04-02,"KJ04","Hentian Kajang ~ Bandar Baru Bangi","S1170",25,18,6,1,39.0833333333333,0.72,0.8534,0.1466,-0.3285,0.7283,-0.4586,0.6322,"2025-04"
2025-04-02,"MPS2A","Lotus Rawang ~ Rawang Perdana","S1190",69,31,33,5,115.666666666667,0.4493,0,31.5723,-0.8001,0,NA,0,"2025-04"
2025-04-02,"MPS3","Batu Arang ~ Stesen MRT Sungai Buloh","S1390",153,106,40,7,100.9,0.6928,0.6456,0.3544,-0.367,0.4169,-0.779,0.4589,"2025-04"
2025-04-02,"MPS4","Wangsa Permai ~ Bandar Baru Selayang","S1490",34,9,23,2,113.966666666667,0.2647,0.4441,0.5559,-1.3291,0.1973,-2.2642,0.1039,"2025-04"
2025-04-02,"SJ01","BRT USJ 7 ~ Stesen LRT Subang Jaya","S2000",349,225,105,19,43.4666666666667,0.6447,0.4851,0.5149,-0.439,0.2353,-1.2312,0.2919,"2025-04"
2025-04-02,"SJ02","Stesen LRT Pusat Bandar Puchong ~ Stesen LRT SS18","S2020",218,86,116,16,69.4166666666667,0.3945,0.4422,0.5578,-0.9301,0.1955,-1.8602,0.1556,"2025-04"
2025-04-02,"SJ03","SMK Bandar Puchong Jaya ~ Stesen LRT Kinrara BK5","S2030",463,352,91,20,56.3833333333333,0.7603,0,1.6036,-0.2741,0,NA,0,"2025-04"
2025-04-02,"BTG2","Hentian Banting ~ Bandar Baru Banting","S2060",50,42,8,0,34.7,0.84,0.9829,0.0171,-0.1744,0.966,-0.2448,0.7829,"2025-04"
2025-04-02,"KLG3A","Taman Sri Andalas ~ Bandar Klang","S3020",17,16,0,1,16.85,0.9412,0.9951,0.0049,-0.0606,0.9901,-0.1275,0.8803,"2025-04"
2025-04-02,"KLG3B","Bandar Putera ~ Bandar Klang via Jalan Raja Nong","S3030",59,54,1,4,33.7666666666667,0.9153,0,1.8437,-0.0886,0,NA,0,"2025-04"
2025-04-02,"KLG3C","Bandar Putera ~ Bandar Klang via Jalan Kebun","S3040",1,0,0,1,0.233333333333333,0,0,432,-Inf,0,NA,0,"2025-04"
2025-04-02,"SA02","Hentian Bandar Seksyen 14 ~ Stesen KTM Batu 3","S4020",140,129,0,11,20.1333333333333,0.9214,0,66.4415,-0.0818,0,NA,0,"2025-04"
2025-04-02,"SA03","KTM Sekyen 19 ~ Terminal 17 ~ Seksyen 24 ~ Seksyen 20","S4030",201,165,31,5,35.7,0.8209,0.9118,0.0882,-0.1974,0.8314,-0.2878,0.7499,"2025-04"
2025-04-02,"SA04","Terminal Seksyen 17 ~ Hospital Shah Alam","S4040",113,95,5,13,59.3333333333333,0.8407,0,56.136,-0.1735,0,NA,0,"2025-04"
2025-04-02,"SA05","Stesen Bas Seksyen 13 ~ Bukit Jelutong","S4050",1,1,0,0,1.18333333333333,1,1,0,0,1,-0.0657,0.9364,"2025-04"
2025-04-02,"SA06","Terminal Seksyen 19 ~ Kota Kemuning","S4060",528,437,74,17,64.0666666666667,0.8277,0.785,0.215,-0.1892,0.6162,-0.3819,0.6826,"2025-04"
2025-04-02,"SA08","Stesen LRT Alam Megah ~ Kota Kemuning","S4080",564,522,24,18,54.5833333333333,0.9255,0.8422,0.1578,-0.0774,0.7093,-0.21,0.8106,"2025-04"
2025-04-02,"SA10","Bukit Subang~Kg Melayu Subang ~Pekan Subang~Bukit Jelutung","S4100",227,211,8,8,46.5833333333333,0.9295,0.4671,0.5329,-0.0731,0.2181,-0.9067,0.4039,"2025-04"
2025-04-02,"PAVILION BUKIT JALIL (PAVBJ)","Stesen LRT Awan Besar ~ Pavilion Bukit Jalil","S6060",27,0,27,0,12.7166666666667,0,0.585,0.415,-Inf,0.3422,NA,0,"2025-04"
2025-04-02,"T120","Kompleks Sungai Mas ~ Taman Mastiara","T1200",34,28,6,0,28.0166666666667,0.8235,0.9222,0.0778,-0.1942,0.8504,-0.2798,0.7559,"2025-04"
2025-04-02,"T200","Stesen LRT Gombak ~ UIA Gombak","T2000",95,74,19,2,33.05,0.7789,0.1553,0.8447,-0.2498,0.0241,-2.2575,0.1046,"2025-04"
2025-04-02,"T201","Stesen LRT Gombak ~ Hab Wira Damai","T2010",200,184,15,1,28,0.92,0.7449,0.2551,-0.0834,0.5548,-0.3239,0.7233,"2025-04"
2025-04-02,"T202","Stesen LRT Taman Melati ~ Taman Melewar","T2020",162,139,20,3,65.2166666666667,0.858,0.5767,0.4233,-0.1531,0.3326,-0.7045,0.4944,"2025-04"
2025-04-02,"T222","Stesen LRT Sri Rampai ~ UKAY Perdana","T2220",154,126,22,6,64.1333333333333,0.8182,0,17.4038,-0.2007,0,NA,0,"2025-04"
2025-04-02,"T223","Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat","T2230",307,290,11,6,23.1666666666667,0.9446,0.9761,0.0239,-0.057,0.9527,-0.125,0.8825,"2025-04"
2025-04-02,"T224","Stesen LRT Dato Keramat ~ Desa Pandan","T2240",290,227,52,11,29.5,0.7828,0,4.5719,-0.2449,0,NA,0,"2025-04"
2025-04-02,"T250","Stesen LRT Wangsa Maju ~ Setapak Sentral","T2500",211,195,11,5,46.1,0.9242,0.9023,0.0977,-0.0789,0.8141,-0.1706,0.8432,"2025-04"
2025-04-02,"T251","Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju","T2510",26,20,2,4,21.2833333333333,0.7692,0,6.9061,-0.2624,0,NA,0,"2025-04"
2025-04-02,"T300","Bukit Indah ~ Ampang Point via Jalan Rasmi","T3008",668,647,0,21,19.25,0.9686,0,9.7792,-0.0319,0,NA,0,"2025-04"
2025-04-02,"T301","Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka","T3018",255,116,138,1,52.9833333333333,0.4549,0.8287,0.1713,-0.7877,0.6867,-0.9507,0.3865,"2025-04"
2025-04-02,"T302","Hutan Lipur Ampang ~ Ampang Point","T3028",179,158,19,2,16.2166666666667,0.8827,0.9709,0.0291,-0.1248,0.9426,-0.1953,0.8226,"2025-04"
2025-04-02,"T304","Bukit Indah ~ Ampang Point via Jalan Ampang","T3048",308,229,58,21,37.8833333333333,0.7435,0,21.0847,-0.2964,0,NA,0,"2025-04"
