route_id,stop_name,month,on time,late,early
T100,(M1) UITM SG BULOH (OPP),2026-01,6,0,0
T100,HOSPITAL SG BULOH PINTU B,2026-01,5,0,0
T100,HOSPITAL SG BULOH PINTU B (OPP),2026-01,8,0,0
T100,HOSPITAL SG BULOH PINTU D,2026-01,5,0,0
T100,HOSPITAL SG BULOH PINTU D (OPP),2026-01,9,0,0
T100,KOLEJ SAINS BERSEKUTU KESIHATAN,2026-01,5,0,1
T100,KOLEJ SAINS BERSEKUTU KESIHATAN (OPP),2026-01,8,0,0
T100,MASJID HOSPITAL SUNGAI BULOH,2026-01,8,0,0
T100,PUSAT KUSTA NEGARA,2026-01,8,0,0
T100,SMK SIERRAMAS,2026-01,5,0,0
T100,SMK SIERRAMAS (Opp),2026-01,8,1,0
T100,STELLARS GROCER,2026-01,7,1,0
T100,STELLARS GROCER (OPP),2026-01,5,0,0
T100,UITM SG BULOH,2026-01,8,0,0
T101,(M1) ASCOTT HILL (OPP),2026-01,13,0,0
T101,BRP 4 PUTRA JATI,2026-01,11,0,0
T101,BRP 4 PUTRA UTAMA,2026-01,10,0,0
T101,DATARAN VILLA PUTRA,2026-01,12,0,0
T101,DEWAN MERANTI,2026-01,8,4,0
T101,KG MELAYU BT 13 (1),2026-01,12,0,0
T101,KG MELAYU BT 13 (2),2026-01,13,0,0
T101,KG MELAYU BT 13 (3),2026-01,13,0,0
T101,KG MELAYU BT 13 (4),2026-01,14,0,0
T101,PASAR DAN BAZAR BBSB,2026-01,8,0,0
T101,PERINDUSTRIAN BRP 8,2026-01,13,0,0
T101,PERUMAHAN 1A/6,2026-01,8,0,0
T101,PERUMAHAN 1C/4,2026-01,6,1,0
T101,PERUMAHAN 1D/1,2026-01,11,0,0
T101,PERUMAHAN BRP 5,2026-01,7,0,8
T101,PERUMAHAN BRP 6,2026-01,10,0,0
T101,PERUMAHAN BRP 7,2026-01,14,0,1
T101,PUSAT KOMERSIAL TSB,2026-01,4,0,1
T101,SK SG BULOH (OPP),2026-01,16,0,0
T101,STELLARS GROCER,2026-01,14,2,0
T101,SURAU Al-IKHWAN,2026-01,7,0,0
T101,SURIA PUTRA,2026-01,8,0,0
T101,TAMAN TASIK BBSB,2026-01,2,0,5
T102,(M1) KAWASAN REKREASI AMAN PUTRI,2026-01,9,0,1
T102,(M2) KUARTERS JKR UNIT TENTERA (OPP),2026-01,13,0,0
T102,(M3) SIMPANG FFM,2026-01,7,0,0
T102,BALAIRAYA KG PAYA JARAS,2026-01,5,0,0
T102,BALAIRAYA KG PAYA JARAS (OPP),2026-01,14,0,0
T102,BALAIRAYA KG PAYA JARAS HILIR (OPP),2026-01,6,0,0
T102,BANDAR BARU SUNGAI BULOH,2026-01,6,0,0
T102,BT. 17 KG. MERBAU SEMPAK,2026-01,9,0,0
T102,DEPOT SIMPANAN PERTAHANAN,2026-01,5,4,3
T102,KEM PAYA JARAS,2026-01,6,0,0
T102,KG KUBU GAJAH,2026-01,7,0,0
T102,KOMERSIAL AMAN PUTRI (BARAT),2026-01,8,0,0
T102,KOMERSIAL AMAN PUTRI (TIMUR),2026-01,10,0,1
T102,KOMPLEKS PERNIAGAAN SIMPANG GAJAH 12,2026-01,12,0,0
T102,KUARTERS ATM KEM PAYA JARAS,2026-01,4,0,0
T102,KUARTERS ATM KEM PAYA JARAS (OPP),2026-01,13,0,0
T102,KUARTERS DEPOT SIMPANAN PERTAHANAN,2026-01,11,1,0
T102,KUARTERS DEPOT SIMPANAN PERTAHANAN (OPP),2026-01,5,0,0
T102,KUARTERS JKR UNIT TENTERA,2026-01,7,0,0
T102,LOT 1770,2026-01,4,0,1
T102,LOT 1771,2026-01,10,0,0
T102,MASJID KG KUBU GAJAH (SELATAN),2026-01,7,0,0
T102,MASJID KG KUBU GAJAH (UTARA),2026-01,12,0,0
T102,MASJID KG MERBAU SEMPAK,2026-01,11,0,0
T102,PERSIMPANGAN JLN KG KUBU GAJAH,2026-01,7,0,0
T102,PERSIMPANGAN JLN. MERBAU SEMPAK,2026-01,11,0,0
T102,PERUMAHAN AMAN SURIA (SELATAN),2026-01,8,1,0
T102,PERUMAHAN AMAN SURIA (UTARA),2026-01,8,0,0
T102,PINGGIRAN SG. BULOH,2026-01,14,0,0
T102,PUSAT KOMERSIAL TSB,2026-01,6,0,0
T102,RUMAH LOT 2876,2026-01,6,1,0
T102,RUMAH LOT 2876 (OPP),2026-01,12,0,0
T102,S.R.A MERBAU SEMPAK,2026-01,8,0,0
T102,SIMPANG GAJAH 11,2026-01,7,0,0
T102,SIMPANG GAJAH 14 (BARAT),2026-01,12,0,0
T102,SIMPANG GAJAH 14 (TIMUR),2026-01,7,0,0
T102,SIMPANG GAJAH 15,2026-01,5,0,0
T102,SIMPANG GAJAH 16,2026-01,12,0,0
T102,SIMPANG GAJAH 21,2026-01,12,0,0
T102,SIMPANG GAJAH 23,2026-01,11,0,0
T102,SIMPANG GAJAH 3,2026-01,12,0,0
T102,SIMPANG GAJAH 6,2026-01,5,0,0
T102,SIMPANG GAJAH 9,2026-01,7,0,0
T102,SIMPANG JLN RAHIDIN,2026-01,14,0,0
T102,SIMPANG LORONG 10 (SELATAN),2026-01,7,0,0
T102,SIMPANG LORONG 10 (UTARA),2026-01,12,0,0
T102,SIMPANG LORONG 5,2026-01,7,0,0
T102,SIMPANG LORONG 6,2026-01,12,0,0
T102,SIMPANG Y KUBU GAJAH,2026-01,12,0,0
T102,SME AEROSPACE,2026-01,11,2,3
T102,SMK BANDAR BARU SG BULOH,2026-01,4,0,0
