route_id,date,month,BPI
T100,2026-01-02,2026-01,0.979
T101,2026-01-02,2026-01,0.6057
T102,2026-01-02,2026-01,0.8256
T103,2026-01-02,2026-01,0.908
T104,2026-01-02,2026-01,0.5337
T105,2026-01-02,2026-01,0.9094
T106,2026-01-02,2026-01,0.9659
T107,2026-01-02,2026-01,0.9876
T108,2026-01-02,2026-01,0.849
T109,2026-01-02,2026-01,0.8198
T110,2026-01-02,2026-01,0.9029
T114,2026-01-02,2026-01,0.7739
T115,2026-01-02,2026-01,0.8882
T117,2026-01-02,2026-01,1
T121,2026-01-02,2026-01,0.8813
T152,2026-01-02,2026-01,0.8863
T154,2026-01-02,2026-01,0.8938
T180,2026-01-02,2026-01,0.917
T305,2026-01-02,2026-01,0.7603
T352,2026-01-02,2026-01,0.7753
T400,2026-01-02,2026-01,0.9383
T401,2026-01-02,2026-01,0.9377
T402,2026-01-02,2026-01,0
T407,2026-01-02,2026-01,0.5952
T408,2026-01-02,2026-01,0.8379
T409,2026-01-02,2026-01,0.9429
T410,2026-01-02,2026-01,0.568
T411,2026-01-02,2026-01,0.9495
T412,2026-01-02,2026-01,0.9679
T413,2026-01-02,2026-01,0.9789
T414,2026-01-02,2026-01,0.8281
T415,2026-01-02,2026-01,0.6397
T416,2026-01-02,2026-01,0.8039
T417,2026-01-02,2026-01,0.9663
T418,2026-01-02,2026-01,0.8654
T419,2026-01-02,2026-01,0.7475
T451,2026-01-02,2026-01,0.7579
T453,2026-01-02,2026-01,0.811
T455,2026-01-02,2026-01,0.9675
T457,2026-01-02,2026-01,0.7806
T458,2026-01-02,2026-01,0.8866
T459,2026-01-02,2026-01,0.8627
T460,2026-01-02,2026-01,0.9158
T461,2026-01-02,2026-01,0.8839
T462,2026-01-02,2026-01,0.9566
T463,2026-01-02,2026-01,0.9258
T464,2026-01-02,2026-01,0.7926
T465,2026-01-02,2026-01,0.5839
T505,2026-01-02,2026-01,0.9192
T509,2026-01-02,2026-01,0.8808
T511,2026-01-02,2026-01,0.7484
T543,2026-01-02,2026-01,0.8487
T544,2026-01-02,2026-01,0.9165
T559,2026-01-02,2026-01,0.7849
T560,2026-01-02,2026-01,0.8867
T561,2026-01-02,2026-01,0.969
T565,2026-01-02,2026-01,0.8619
T566,2026-01-02,2026-01,0.9384
T567,2026-01-02,2026-01,0.9477
T568,2026-01-02,2026-01,0.697
T569,2026-01-02,2026-01,0.7484
T585,2026-01-02,2026-01,0.9473
T586,2026-01-02,2026-01,0.9377
T587,2026-01-02,2026-01,0.9924
T588,2026-01-02,2026-01,0.9508
T589,2026-01-02,2026-01,0.9079
T772,2026-01-02,2026-01,0.7137
T801,2026-01-02,2026-01,0.5697
T802,2026-01-02,2026-01,0.0897
T803,2026-01-02,2026-01,0.8456
T804,2026-01-02,2026-01,1
T805,2026-01-02,2026-01,0.8682
T807,2026-01-02,2026-01,0.9516
T808,2026-01-02,2026-01,0.8869
T809,2026-01-02,2026-01,0.9117
T810,2026-01-02,2026-01,0.7872
T811,2026-01-02,2026-01,0.8732
T812,2026-01-02,2026-01,0.873
T813,2026-01-02,2026-01,0.9413
T814,2026-01-02,2026-01,0.9732
T815,2026-01-02,2026-01,0.8919
T816,2026-01-02,2026-01,0.8869
T817,2026-01-02,2026-01,0.8114
T818,2026-01-02,2026-01,0.8635
T821,2026-01-02,2026-01,0.7515
T852,2026-01-02,2026-01,0.781
T100,2026-01-05,2026-01,0.6399
T101,2026-01-05,2026-01,0.8654
T102,2026-01-05,2026-01,0.6435
T103,2026-01-05,2026-01,0.919
T104,2026-01-05,2026-01,0.6702
T105,2026-01-05,2026-01,0.5323
T106,2026-01-05,2026-01,0.9178
T107,2026-01-05,2026-01,0.9755
T108,2026-01-05,2026-01,0.8229
T109,2026-01-05,2026-01,0.9088
T110,2026-01-05,2026-01,0.9017
T114,2026-01-05,2026-01,0.8438
T115,2026-01-05,2026-01,0.944
T117,2026-01-05,2026-01,1
T121,2026-01-05,2026-01,0.9257
T152,2026-01-05,2026-01,0.9024
T154,2026-01-05,2026-01,0.6921
T180,2026-01-05,2026-01,0.9507
T305,2026-01-05,2026-01,0.694
T352,2026-01-05,2026-01,0.7345
T400,2026-01-05,2026-01,0.8845
T401,2026-01-05,2026-01,0.6042
T402,2026-01-05,2026-01,0
T408,2026-01-05,2026-01,0.9416
T409,2026-01-05,2026-01,0.9251
T410,2026-01-05,2026-01,0.5821
T411,2026-01-05,2026-01,0
T412,2026-01-05,2026-01,0.9599
T413,2026-01-05,2026-01,0.9787
T414,2026-01-05,2026-01,0.9282
T415,2026-01-05,2026-01,0.6319
T416,2026-01-05,2026-01,0.594
T417,2026-01-05,2026-01,0.5092
T418,2026-01-05,2026-01,0.4143
T419,2026-01-05,2026-01,0
T451,2026-01-05,2026-01,0.7711
T453,2026-01-05,2026-01,0.8136
T455,2026-01-05,2026-01,0.9632
