route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-05,139,136,1,2,0.0194166035789913,0.97841726618705,0.9594
T101,2026-05,246,232,12,2,0.064589627149557,0.943089430894309,0.8822
T102,2026-05,536,513,15,8,0.0390718640222475,0.957089552238806,0.9197
T103,2026-05,808,768,35,5,0.0216540275226004,0.95049504950495,0.9299
T104,2026-05,63,58,5,0,0.0539906206854763,0.920634920634921,0.8709
T105,2026-05,186,181,5,0,0.00820754374301514,0.973118279569892,0.9651
T106,2026-05,333,323,7,3,0.012487380524835,0.96996996996997,0.9579
T107,2026-05,261,259,0,2,0.0111246208866413,0.992337164750958,0.9813
T108,2026-05,319,294,24,1,0.0472433412102169,0.921630094043887,0.8781
T109,2026-05,607,563,35,9,0.0335936250525504,0.927512355848435,0.8964
T110,2026-05,154,140,14,0,0.0279799866178409,0.909090909090909,0.8837
T114,2026-05,458,395,50,13,0.0786787289022163,0.862445414847162,0.7946
T115,2026-05,538,493,45,0,0.0257701541192859,0.91635687732342,0.8927
T117,2026-05,132,132,0,0,0,1,1
T121,2026-05,49,47,2,0,0.00323959013890759,0.959183673469388,0.9561
T152,2026-05,239,209,29,1,0.0275767415594992,0.874476987447699,0.8504
T154,2026-05,364,336,21,7,0.0477738349681271,0.923076923076923,0.879
T180,2026-05,490,472,13,5,0.0243201819280545,0.963265306122449,0.9398
T305,2026-05,286,253,26,7,0.118265470411161,0.884615384615385,0.78
T352,2026-05,711,597,107,7,0.0753358372287674,0.839662447257384,0.7764
T400,2026-05,190,182,8,0,0.00437496079565169,0.957894736842105,0.9537
T401,2026-05,538,503,29,6,0.0654275364986168,0.934944237918216,0.8738
T402,2026-05,302,289,11,2,0.0604765103203648,0.956953642384106,0.8991
T407,2026-05,69,57,8,4,0.332371646247214,0.826086956521739,0.5515
T408,2026-05,424,389,34,1,0.0344325936680284,0.917452830188679,0.8859
T409,2026-05,568,544,22,2,0.0259131586748704,0.957746478873239,0.9329
T410,2026-05,460,331,117,12,0.168622362993903,0.719565217391304,0.5982
T411,2026-05,169,164,5,0,0.0145613323015862,0.970414201183432,0.9563
T412,2026-05,573,565,5,3,0.0098527819142132,0.986038394415358,0.9763
T413,2026-05,447,438,3,6,0.0113865949320307,0.979865771812081,0.9687
T414,2026-05,402,375,16,11,0.0746321414649649,0.932835820895522,0.8632
T415,2026-05,57,45,12,0,0.0986288179154389,0.789473684210526,0.7116
T416,2026-05,319,293,19,7,0.146453978316454,0.918495297805643,0.784
T417,2026-05,574,566,5,3,0.0281782064983744,0.986062717770035,0.9583
T418,2026-05,300,269,30,1,0.0574052175805723,0.896666666666667,0.8452
