route_id,stop_name,month,on time,late,early,route_short_name,route_long_name
P1010,PPJ11 KEMENTERIAN PENGAJIAN TINGGI,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ185 TAMAN BOTANI PUTRAJAYA,2026-02,0,0,1,P101,Kompleks F ~ Presint 5
P1010,PPJ186 TAMAN PUTRA PERDANA (TIMUR),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ187 KOMPLEKS PARCEL E (BARAT),2026-02,2,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ188 DATARAN PAHLAWAN,2026-02,3,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ189 KOMPLEKS KERAJAAN PARCEL D,2026-02,2,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ19 HERIOT-WATT UNIVERSITY P5,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ276 KOMPLEKS PARCEL E (UTARA),2026-02,1,2,0,P101,Kompleks F ~ Presint 5
P1010,PPJ327 PRESINT 5 (BARAT),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ33 KEMENTERIAN PEMBANGUNAN LUAR BANDAR,2026-02,1,0,1,P101,Kompleks F ~ Presint 5
P1010,PPJ34 DATARAN GEMILANG,2026-02,2,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ35 KEMENTERIAN WANITA & MASYARAKAT,2026-02,2,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ37 DATARAN GEMILANG,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ376 GALERIA PJH,2026-02,2,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ38 KEMENTERIAN PEMBANGUNAN LUAR BANDAR (OPP),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ39 MOTOCROSS CIRCUIT,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ40 GALERIA PJH,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ41 KEMENTERIAN PERTANIAN,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ42 PERBADANAN PUTRAJAYA (SELATAN),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ43 PERBADANAN PUTRAJAYA (UTARA),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ44 JABATAN PENDAFTARAN NEGARA,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ45 LEMBAGA PEMBIAYAAN PERUMAHAN (UTARA),2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ47 MENARA PERKESO,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ48 PUTRA SQUARE,2026-02,1,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ49 KEMENTERIAN KEWANGAN,2026-02,3,0,0,P101,Kompleks F ~ Presint 5
P1010,PPJ5 PRESINT 5 (BARAT),2026-02,2,0,0,P101,Kompleks F ~ Presint 5
