route_id,date,month,BPI,route_short_name,route_long_name
S6060,2026-04-01,2026-04,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04-01,2026-04,0.8263,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04-01,2026-04,0.8715,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2230,2026-04-01,2026-04,0.9674,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-04-01,2026-04,0.8108,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-04-01,2026-04,0,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-04-01,2026-04,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3028,2026-04-01,2026-04,0.7637,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-04-01,2026-04,0.2411,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T4068,2026-04-01,2026-04,0.1277,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-04-01,2026-04,0.7772,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-04-01,2026-04,0.5822,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-04-01,2026-04,0.8736,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-04-01,2026-04,0.6228,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-04-01,2026-04,0.9588,T601,Puchong Utama ~ Puchong Prima
T6030,2026-04-01,2026-04,0.8033,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-04-01,2026-04,0.9478,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-04-01,2026-04,0.9688,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-04-01,2026-04,0.6914,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-04-01,2026-04,0.7568,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-04-01,2026-04,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-04-01,2026-04,0.5726,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-04-01,2026-04,0.7802,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-04-01,2026-04,0.8636,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-04-01,2026-04,0.4709,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7820,2026-04-01,2026-04,0,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-04-01,2026-04,0.9217,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-04-01,2026-04,0.9345,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7890,2026-04-01,2026-04,0.871,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-04-01,2026-04,0.2359,T790,Stesen LRT Paramount ~ Mid Valley
T7910,2026-04-01,2026-04,0.8634,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-04-01,2026-04,1,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
U1510,2026-04-01,2026-04,0.6353,151,Bandar Baru Selayang ~ Hab Pasar Seni
U1710,2026-04-01,2026-04,0.7035,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-04-01,2026-04,0.8434,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-04-01,2026-04,0.7889,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-04-01,2026-04,0.8422,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-04-01,2026-04,0.3976,200,UIA Gombak ~ SOGO KL
U2018,2026-04-01,2026-04,0.5,201,Batu 12 Gombak – SOGO KL
U2020,2026-04-01,2026-04,0.8225,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
U2200,2026-04-01,2026-04,0.3976,220,Taman Melawati ~ Lebuh Ampang
U2220,2026-04-01,2026-04,0.7149,222,Taman Melawati ~ Stesen LRT Wangsa Maju
U2500,2026-04-01,2026-04,0.8925,250,Stesen LRT Wangsa Maju ~ Lebuh Ampang
U2510,2026-04-01,2026-04,0.7942,251,AU3 Jentayu ~ Chow Kit
U2538,2026-04-01,2026-04,0.5312,253,Stesen LRT Wangsa Maju ~ Ampang Point
U2548,2026-04-01,2026-04,0.6006,254,Ayer Panas ~ Titiwangsa via Chowkit
U3000,2026-04-01,2026-04,0.8111,300,Terminal Maluri ~ Lebuh Ampang
U3020,2026-04-01,2026-04,0.8268,302,Titiwangsa ~ KLCC
U3030,2026-04-01,2026-04,0.8755,303,Taman Mulia Jaya ~ Lebuh Ampang
U4000,2026-04-01,2026-04,0,400,Damai Perdana ~ Hab Pasar Seni via Bukit Bintang
U4200,2026-04-01,2026-04,0.7468,420,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4210,2026-04-01,2026-04,0.7974,421,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4500,2026-04-01,2026-04,0.75,450,Hentian Kajang ~ Hab Pasar Seni
U5410,2026-04-01,2026-04,0,541,Stesen MRT Taman Equine ~ Stesen LRT BK 5
U5800,2026-04-01,2026-04,0,580,Desa Petaling ~ Pasar Seni via Stesen LRT Salak Selatan
U5810,2026-04-01,2026-04,0.598,581,Desa Tasik ~ Stesen LRT Bandar Tasik Selatan
U5900,2026-04-01,2026-04,0.8803,590,Bandar Sungai Long ~ Hab Pasar Seni
U6000,2026-04-01,2026-04,0.6338,600,Puchong Utama ~ Hab Pasar Seni
U6400,2026-04-01,2026-04,0.8116,640,Hab Bas Sri Manja ~ Hab Pasar Seni
U6418,2026-04-01,2026-04,0.8218,641,Stesen LRT Subang Jaya ~ Pearl Point
U6500,2026-04-01,2026-04,0.8301,650,Taman Desa ~ Hab Pasar Seni
U6510,2026-04-01,2026-04,0,651,Stesen LRT Muhibbah ~Pearl Point
U6520,2026-04-01,2026-04,0.9177,652,Stesen LRT Awan Besar ~Batu 3 Jalan Klang Lama
U7508,2026-04-01,2026-04,0.8636,750,Hab Sekysen 2 ~ Hab Pasar Seni
U7510,2026-04-01,2026-04,0.5949,751,Taman Sri Muda ~ Hab Pasar Seni
U7520,2026-04-01,2026-04,0.7361,752,Stesen LRT Putra Height ~ Hentian Bandar Shah Alam
U7538,2026-04-01,2026-04,0.9716,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7548,2026-04-01,2026-04,0,754,LRT Stadium Shah Alam ~ UITM Puncak Perdana
U7700,2026-04-01,2026-04,0.551,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
U7718,2026-04-01,2026-04,0.5013,771,Subang Mewah USJ 1 ~ Desa Mentari via Persiaran Tujuan
U7720,2026-04-01,2026-04,0.745,772,Subang Suria Mah Sing ~ Hab Pasar Seni
U7800,2026-04-01,2026-04,0.9408,780,Kota Damansara ~ Hab Pasar Seni
U7828,2026-04-01,2026-04,0.7662,782,Hentian PJ Old Town ~ Hab Pasar Seni
U7830,2026-04-01,2026-04,0.6201,783,Stesen LRT Kelana Jaya ~ Subang Parade
U8210,2026-04-01,2026-04,0.7895,821,Pantai Hill Park ~ Hab Pasar Seni
U8220,2026-04-01,2026-04,0,822,Stesen LRT Bangsar ~ Bangsar Shopping Centre
S6060,2026-04-02,2026-04,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04-02,2026-04,0.6149,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04-02,2026-04,0.8963,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2230,2026-04-02,2026-04,0.9843,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-04-02,2026-04,0.7699,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-04-02,2026-04,0.7377,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-04-02,2026-04,0.8364,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-04-02,2026-04,0.9529,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-04-02,2026-04,0.7579,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-04-02,2026-04,0,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3510,2026-04-02,2026-04,0.8745,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-04-02,2026-04,0.8606,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-04-02,2026-04,0.5225,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-04-02,2026-04,0.6772,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-04-02,2026-04,0.8442,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-04-02,2026-04,0.5895,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-04-02,2026-04,0.9512,T601,Puchong Utama ~ Puchong Prima
T6030,2026-04-02,2026-04,0,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-04-02,2026-04,0.8368,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-04-02,2026-04,0.9865,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-04-02,2026-04,0.818,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-04-02,2026-04,1,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-04-02,2026-04,1,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-04-02,2026-04,0.9465,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-04-02,2026-04,0.9444,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-04-02,2026-04,0.8344,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-04-02,2026-04,0.5613,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7820,2026-04-02,2026-04,0.9269,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-04-02,2026-04,0,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-04-02,2026-04,0.9028,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7880,2026-04-02,2026-04,0,T788,Stesen LRT Universiti ~ Mid Valley
T7890,2026-04-02,2026-04,0.9372,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-04-02,2026-04,1,T790,Stesen LRT Paramount ~ Mid Valley
T7910,2026-04-02,2026-04,0.788,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-04-02,2026-04,0,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
