route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2026-02,66,62,2,2,4.55300371048487,0.939393939393939,0,P101,Kompleks F ~ Presint 5
P1020,2026-02,47,37,10,0,0.0278510336548206,0.787234042553192,0.7653,P102,Presint 11 ~ Kompleks E
P1030,2026-02,25,21,3,1,0.291688447464715,0.84,0.595,P103,Presint 14 via Alamanda ~ Kompleks E
P1040,2026-02,50,47,0,3,0.295191636109656,0.94,0.6625,P104,Dataran Gemilang ~ PICC via Presint 5
P1060,2026-02,37,35,2,0,0.00459889203704487,0.945945945945946,0.9416,P106,Presint 4 ~ Kompleks E
P1080,2026-02,33,28,3,2,0.0598768975634647,0.848484848484848,0.7977,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2026-02,1,1,0,0,0,1,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2026-02,12,0,12,0,0.353720693170235,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-02,120,105,14,1,0.441810741755383,0.875,0.4884,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-02,232,216,14,2,0.0481640574099974,0.931034482758621,0.8862,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-02,92,86,4,2,0.219623783995434,0.934782608695652,0.7295,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-02,280,222,48,10,0.167946962076606,0.792857142857143,0.6597,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-02,164,159,4,1,0.010806725155253,0.969512195121951,0.959,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-02,192,178,8,6,0.0612041952496109,0.927083333333333,0.8703,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-02,119,96,20,3,0.0752706282670491,0.80672268907563,0.746,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-02,281,271,0,10,0.650110191910364,0.9644128113879,0.3374,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-02,176,167,9,0,0.0282164206124946,0.948863636363636,0.9221,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-02,105,91,13,1,0.0172184359784033,0.866666666666667,0.8517,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2026-02,76,63,8,5,0.194060969514283,0.828947368421053,0.6681,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2026-02,232,189,32,11,0.332672457086278,0.814655172413793,0.5436,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-02,108,88,16,4,0.251145226305917,0.814814814814815,0.6102,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-02,201,187,9,5,0.106641130755626,0.930348258706468,0.8311,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-02,298,247,51,0,0.0833870204667059,0.828859060402685,0.7597,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-02,103,91,9,3,0.167551324696465,0.883495145631068,0.7355,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-02,62,55,5,2,0.452059544647059,0.887096774193548,0.4861,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-02,149,127,16,6,0.145741424756478,0.852348993288591,0.7281,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-02,195,142,52,1,0.16833664728557,0.728205128205128,0.6056,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-02,157,150,7,0,0.0175433328106375,0.955414012738854,0.9387,T601,Puchong Utama ~ Puchong Prima
T6030,2026-02,55,46,7,2,0.0668788853021971,0.836363636363636,0.7804,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-02,235,226,6,3,0.0738609801836559,0.961702127659574,0.8907,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-02,171,168,3,0,0.00988457918798265,0.982456140350877,0.9727,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-02,223,192,24,7,0.177124637279008,0.860986547085202,0.7085,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-02,28,22,6,0,0.0384271130998384,0.785714285714286,0.7555,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7538,2026-02,86,75,10,1,0.0770171534270803,0.872093023255814,0.8049,T753,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5"
T7548,2026-02,85,81,2,2,7.82940761388487,0.952941176470588,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-02,100,89,9,2,0.0660466106583715,0.89,0.8312,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-02,55,48,0,7,0.319958473882258,0.872727272727273,0.5935,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2026-02,100,96,0,4,0.0830335278561912,0.96,0.8803,T776,Stesen LRT USJ 7 ~ Subang Mewah
