"month","route_id","stop_name","on time","early","late"
"2025-07","T100","(M1) UITM SG BULOH (OPP)",16,0,0
"2025-07","T100","HOSPITAL SG BULOH PINTU B",16,0,0
"2025-07","T100","HOSPITAL SG BULOH PINTU B (OPP)",18,0,0
"2025-07","T100","HOSPITAL SG BULOH PINTU D",16,0,0
"2025-07","T100","HOSPITAL SG BULOH PINTU D (OPP)",18,0,0
"2025-07","T100","KOLEJ SAINS BERSEKUTU KESIHATAN",16,1,0
"2025-07","T100","KOLEJ SAINS BERSEKUTU KESIHATAN (OPP)",18,0,0
"2025-07","T100","MASJID HOSPITAL SUNGAI BULOH",17,0,0
"2025-07","T100","PUSAT KUSTA NEGARA",17,0,0
"2025-07","T100","SMK SIERRAMAS",14,2,0
"2025-07","T100","SMK SIERRAMAS (Opp)",18,0,0
"2025-07","T100","STELLARS GROCER",17,1,0
"2025-07","T100","STELLARS GROCER (OPP)",16,0,0
"2025-07","T100","UITM SG BULOH",17,0,0
"2025-07","T101","(M1) ASCOT HILL",1,10,0
"2025-07","T101","BRP 4 PUTRA JATI",22,0,0
"2025-07","T101","BRP 4 PUTRA UTAMA",22,0,0
"2025-07","T101","DATARAN VILLA PUTRA",25,0,0
"2025-07","T101","DEWAN MERANTI",22,0,0
"2025-07","T101","KG MELAYU BT 13 (1)",25,0,0
"2025-07","T101","KG MELAYU BT 13 (2)",25,0,0
"2025-07","T101","KG MELAYU BT 13 (3)",25,0,0
"2025-07","T101","KG MELAYU BT 13 (4)",25,0,0
"2025-07","T101","PASAR DAN BAZAR BBSB",21,0,0
"2025-07","T101","PERINDUSTRIAN BRP 8",25,0,0
"2025-07","T101","PERUMAHAN 1C/4",22,0,0
"2025-07","T101","PERUMAHAN 1D/1",22,0,0
"2025-07","T101","PERUMAHAN BRP 5",8,14,0
"2025-07","T101","PERUMAHAN BRP 6",22,0,0
"2025-07","T101","PERUMAHAN BRP 7",23,0,0
"2025-07","T101","PUSAT KOMERSIAL TSB",19,0,0
"2025-07","T101","SK SG BULOH (OPP)",23,0,1
"2025-07","T101","STELLARS GROCER",24,0,0
"2025-07","T101","SURAU Al-IKHWAN",22,0,0
"2025-07","T101","TAMAN TASIK BBSB",20,2,0
"2025-07","T102","(M1) KAWASAN REKREASI AMAN PUTRI",6,7,0
"2025-07","T102","(M2) KUARTERS JKR UNIT TENTERA (OPP)",17,0,0
"2025-07","T102","(M3) SIMPANG FFM",7,0,0
"2025-07","T102","BALAIRAYA KG PAYA JARAS",5,0,0
"2025-07","T102","BALAIRAYA KG PAYA JARAS (OPP)",16,0,1
"2025-07","T102","BALAIRAYA KG PAYA JARAS HILIR (OPP)",7,0,0
"2025-07","T102","BANDAR BARU SUNGAI BULOH",3,0,0
"2025-07","T102","BT. 17 KG. MERBAU SEMPAK",9,0,0
"2025-07","T102","DEPOT SIMPANAN PERTAHANAN",11,0,2
"2025-07","T102","KEM PAYA JARAS",6,0,0
"2025-07","T102","KG KUBU GAJAH",7,0,0
"2025-07","T102","KOMERSIAL AMAN PUTRI (BARAT)",11,0,0
"2025-07","T102","KOMERSIAL AMAN PUTRI (TIMUR)",11,3,0
"2025-07","T102","KOMPLEKS PERNIAGAAN SIMPANG GAJAH 12",16,0,0
"2025-07","T102","KUARTERS ATM KEM PAYA JARAS",4,0,0
"2025-07","T102","KUARTERS ATM KEM PAYA JARAS (OPP)",18,0,1
"2025-07","T102","KUARTERS DEPOT SIMPANAN PERTAHANAN",13,0,1
"2025-07","T102","KUARTERS DEPOT SIMPANAN PERTAHANAN (OPP)",4,0,0
"2025-07","T102","KUARTERS JKR UNIT TENTERA",4,0,0
"2025-07","T102","LOT 1770",8,0,0
"2025-07","T102","LOT 1771",14,0,0
"2025-07","T102","MASJID KG KUBU GAJAH (SELATAN)",9,0,0
"2025-07","T102","MASJID KG KUBU GAJAH (UTARA)",16,0,0
"2025-07","T102","MASJID KG MERBAU SEMPAK",16,0,0
"2025-07","T102","PERSIMPANGAN JLN KG KUBU GAJAH",3,2,1
"2025-07","T102","PERSIMPANGAN JLN. MERBAU SEMPAK",14,0,0
"2025-07","T102","PERUMAHAN AMAN SURIA (SELATAN)",12,0,0
"2025-07","T102","PERUMAHAN AMAN SURIA (UTARA)",9,0,1
"2025-07","T102","PINGGIRAN SG. BULOH",18,0,0
"2025-07","T102","PUSAT KOMERSIAL TSB",4,0,0
"2025-07","T102","RUMAH LOT 2876",7,0,0
"2025-07","T102","RUMAH LOT 2876 (OPP)",18,0,0
"2025-07","T102","S.R.A MERBAU SEMPAK",8,1,0
"2025-07","T102","SIMPANG GAJAH 11",8,0,0
"2025-07","T102","SIMPANG GAJAH 14 (BARAT)",15,0,0
"2025-07","T102","SIMPANG GAJAH 14 (TIMUR)",8,0,0
"2025-07","T102","SIMPANG GAJAH 15",8,0,0
"2025-07","T102","SIMPANG GAJAH 16",17,0,0
"2025-07","T102","SIMPANG GAJAH 21",15,0,0
"2025-07","T102","SIMPANG GAJAH 23",16,0,0
"2025-07","T102","SIMPANG GAJAH 3",15,0,0
"2025-07","T102","SIMPANG GAJAH 6",9,0,0
"2025-07","T102","SIMPANG GAJAH 9",8,0,0
"2025-07","T102","SIMPANG JLN RAHIDIN",16,1,0
"2025-07","T102","SIMPANG LORONG 10 (SELATAN)",9,0,0
"2025-07","T102","SIMPANG LORONG 10 (UTARA)",14,0,0
"2025-07","T102","SIMPANG LORONG 5",9,0,0
"2025-07","T102","SIMPANG LORONG 6",16,0,0
"2025-07","T102","SIMPANG Y KUBU GAJAH",18,0,0
"2025-07","T102","SME AEROSPACE",8,9,0
"2025-07","T102","SMK BANDAR BARU SG BULOH",4,0,0
"2025-07","T102","SMK BANDAR BARU SG BULOH (OPP)",15,0,1
"2025-07","T102","SRA PAYA JARAS",17,0,0
"2025-07","T102","TASKA PERMATA KEMAS",18,0,0
"2025-07","T102","U19 TMN SRI BULOH",7,0,0
"2025-07","T103","(M1) SUTERA SQUARE",23,10,0
"2025-07","T103","APARTMENT INDAH",32,0,0
"2025-07","T103","APARTMENT SAUJANA",34,0,0
"2025-07","T103","APT IDAMAN",30,0,0
"2025-07","T103","APT IMPIAN",30,0,0
"2025-07","T103","APT LESTARI",36,0,0
"2025-07","T103","APT LESTARI (OPP)",35,0,0
"2025-07","T103","APT PERMAI",27,0,0
"2025-07","T103","DESA RIANG",35,0,0
"2025-07","T103","JAKOA DAMANSARA DAMAI",32,0,0
"2025-07","T103","KOMERSIAL SAUJANA DAMANSARA",36,1,2
"2025-07","T103","KOMERSIAL SAUJANA DAMANSARA (OPP)",26,0,0
"2025-07","T103","PLAZA PARK AVENUE",37,0,0
"2025-07","T103","PRIMA DAMANSARA",20,16,0
"2025-07","T103","RESIDENSI SUASANA DAMAI (OPP)",27,0,0
"2025-07","T103","SEASONS SQUARE",39,0,2
"2025-07","T103","TERMINAL BAS WAN'S CENTRAL",21,0,0
"2025-07","T103","THE ZIZZ",38,0,0
"2025-07","T104","(M1) PANGSAPURI MEDAN MAS",13,0,0
"2025-07","T104","DERET KEDAI JLN PERKHIDMATAN",13,0,0
"2025-07","T104","IPD SG BULOH",13,0,0
"2025-07","T104","PREMISE 196",9,0,4
"2025-07","T104","RHB KG BARU SG BULOH",12,0,1
"2025-07","T104","SJKC SG BULOH (OPP)",13,0,0
"2025-07","T105","(M1) APARTMENT SRI PUTRA FASA 2",3,0,0
"2025-07","T105","APARTMENT IMPIAN INDAH",2,0,0
"2025-07","T105","APARTMENT SERI MAWAR",3,0,0
"2025-07","T105","APARTMENT SERI MAWAR (OPP)",3,0,0
"2025-07","T105","DATARAN VILLA PUTRA",3,0,0
"2025-07","T105","KAWASAN PERINDUSTRIAN PUTRA",2,0,0
"2025-07","T105","KG SRI INDAH B (BARAT)",2,0,0
"2025-07","T105","KG SRI INDAH B (TIMUR)",3,0,0
"2025-07","T105","KLINIK KESIHATAN SG. BULOH",2,1,0
"2025-07","T105","KLINIK KESIHATAN SG. BULOH (OPP)",1,0,0
"2025-07","T105","KOMERSIAL SAUJANA AKASIA",3,0,0
"2025-07","T105","KOMERSIAL SRI PUTRA",3,0,0
"2025-07","T105","KOMPLEKS KILANG DAIKIN",1,0,0
"2025-07","T105","LORONG MELOR. KG MELAYU",3,0,0
"2025-07","T105","LOT 129 KG MELAYU (OPP)",2,0,0
"2025-07","T105","MAKMAL KESIHATAN AWAM KEBANGSAAN",3,0,0
"2025-07","T105","MAKMAL KESIHATAN AWAM KEBANGSAAN (OPP)",1,0,0
"2025-07","T105","MEDAN SELERA KAW. INDUSTRI PUTRA",3,0,0
"2025-07","T105","PERINDUSTRIAN BRP 8",3,0,0
"2025-07","T105","PERINDUSTRIAN BRP 9",2,0,0
"2025-07","T105","PERSIMPANGAN BRP 8/2",2,0,0
"2025-07","T105","PERSIMPANGAN MP 2 (OPP)",3,0,0
"2025-07","T105","PERSIMPANGAN MP 3",2,0,0
"2025-07","T105","PERSIMPANGAN MP 36",2,0,0
"2025-07","T105","PERSIMPANGAN MP 37 (OPP)",3,0,0
"2025-07","T105","PERSIMPANGAN MP 43",2,0,0
"2025-07","T105","PERSIMPANGAN MP 43 (OPP)",3,0,0
"2025-07","T105","PERSIMPANGAN MP 58",2,0,0
"2025-07","T105","PERSIMPANGAN SRI INDAH 9B",2,0,0
"2025-07","T105","PERSIMPANGAN SRI INDAH 9B (OPP)",3,0,0
"2025-07","T105","SAUJANA AKASIA (OPP)",3,0,0
"2025-07","T105","SEK. KEB. SG. BULOH",2,0,0
"2025-07","T105","SIMPANG 4 JLN KUSTA (BARAT)",2,0,0
"2025-07","T105","SIMPANG 4 JLN KUSTA (TIMUR)",2,0,0
"2025-07","T105","SK SG BULOH (OPP)",3,0,0
"2025-07","T105","SMK SIERRAMAS",2,0,0
"2025-07","T105","STELLARS GROCER",2,1,0
"2025-07","T105","STELLARS GROCER (OPP)",2,0,0
"2025-07","T105","SURAU DARUL ULUM",2,0,0
"2025-07","T105","SURAU DARUL ULUM (OPP)",3,0,0
"2025-07","T105","SURAU ZAHIDIAH JALAN KUSTA",2,0,0
"2025-07","T105","SURAU ZAHIDIAH JALAN KUSTA (OPP)",1,1,0
"2025-07","T105","TAMAN ANJUNG DAMAI",2,0,0
"2025-07","T105","TAMAN ANJUNG DAMAI (OPP)",1,0,0
"2025-07","T105","TAMAN IMPIAN INDAH",2,0,0
"2025-07","T105","TAMAN SRI PUTRA",2,1,0
"2025-07","T105","TAMAN VILLA PUTRA",2,0,0
"2025-07","T106","(M1) PANGSAPURI SRI MERANTI",24,0,0
"2025-07","T106","AMANAH IKHTIAR MALAYSIA",22,0,1
"2025-07","T106","APARTMENT PARADESA TROPIKA (OPP)",22,3,0
"2025-07","T106","ATIVO PLAZA",22,0,3
"2025-07","T106","KOMERSIAL BANDAR SRI DAMANSARA",24,0,0
"2025-07","T106","KOMERSIAL BANDAR SRI DAMANSARA 12",24,0,0
"2025-07","T106","MARGOSA RESIDENCY",23,0,0
"2025-07","T106","MASJID AL-MUKARRAMAH",24,0,0
"2025-07","T106","MERANTI 13 RESIDENCE",22,0,0
"2025-07","T106","PERUMAHAN SAGA SD 8",25,0,0
"2025-07","T106","SD APARTMENT",22,0,0
"2025-07","T106","SD APARTMENT 2",24,0,0
"2025-07","T106","SRI BESTARI INTERNATIONAL SCHOOL (OPP)",22,2,0
"2025-07","T106","SRI DAMANSARA COURTS",25,0,0
"2025-07","T107","(M1) PUSAT DAGANGAN SRI DAMANSARA (OPP)",24,0,1
"2025-07","T107","FLAT SRI CEMARA (OPP)",23,0,0
"2025-07","T107","KAWASAN PERINDUSTRIAN TOGO",22,1,2
"2025-07","T107","KOMERSIAL JALAN EMAS SD 5",25,0,0
"2025-07","T107","KOMERSIAL KIP",25,0,0
"2025-07","T107","MAS KIPARK DAMANSARA",24,0,1
"2025-07","T107","PERINDUSTRIAN  SD5",23,0,0
"2025-07","T107","PERUMAHAN JATI SD 4",25,0,0
"2025-07","T107","TAMAN PERINDUSTRIAN KIP",23,0,0
"2025-07","T107","TAMAN PERINDUSTRIAN KIP 2",20,0,0
"2025-07","T107","TAMAN WANGSA PERMAI",25,0,0
"2025-07","T108","(M1) KEPONG VILLAGE MALL",37,0,1
"2025-07","T108","KAW. PUSAT BANDAR MANJALARA",37,0,0
"2025-07","T108","KAW. PUSAT BANDAR MANJALARA JLN 11",36,0,0
"2025-07","T108","KOMERSIAL DAGANG SD2",9,26,0
"2025-07","T108","KOMERSIAL TAMAN BUKIT MALURI",38,0,0
"2025-07","T108","MENARA MENJALARA",37,0,0
"2025-07","T108","PERUMAHAN MENJALARA 62B",37,0,0
"2025-07","T108","PUSAT KOMUNITI MENJALARA",37,0,0
"2025-07","T108","SK MENJALARA",37,0,0
"2025-07","T108","SMK TAMAN BUKIT MALURI (TIMUR)",38,0,0
"2025-07","T108","SMK TAMAN BUKIT MALURI (UTARA)",38,0,0
"2025-07","T108","SMKA KL (OPP)",38,0,0
"2025-07","T108","TAMAN BUKIT MALURI (BARAT)",38,0,0
"2025-07","T108","TAMAN BUKIT MALURI (SELATAN)",34,2,2
"2025-07","T108","TAMAN BUKIT MALURI (UTARA)",36,0,0
"2025-07","T108","TAMAN MENJALARA (UTARA)",37,0,0
"2025-07","T108","TM KEPONG MENJALARA",36,0,0
"2025-07","T108","VILLA MANJA",36,0,0
"2025-07","T108","WISMA FIAMMA",3,35,0
"2025-07","T109","(M1) THE BREEZEWAY",29,0,0
"2025-07","T109","ADORA PARKCITY",2,25,0
"2025-07","T109","KOMERSIAL DAGANG SD2",6,19,0
"2025-07","T109","LEVENUE",30,0,0
"2025-07","T109","LEVENUE (OPP)",27,0,0
"2025-07","T109","NADIA PARKFRONT",30,0,0
"2025-07","T109","PERUMAHAN MENJALARA 62 & 62C",28,0,0
"2025-07","T109","PERUMAHAN MENJALARA 62&62C (OPP)",31,0,0
"2025-07","T109","PLAZA ARKADIA (DAVIDSON)",29,0,0
"2025-07","T109","PLAZA ARKADIA (FARADAY)",30,0,0
"2025-07","T109","SEK. MEN. AGAMA K.L",27,0,0
"2025-07","T109","SOUTHLAKE TERRACE",29,0,0
"2025-07","T109","TAMAN MENJALARA (UTARA)",23,1,7
"2025-07","T109","THE WESTSIDE CONDO",29,0,0
"2025-07","T109","WATERFRONT PARKCITY",31,0,0
"2025-07","T109","ZENIA PARKHOME",29,0,0
"2025-07","T110","(M1) APARTMENT DESA DUA",18,0,0
"2025-07","T110","APARTMENT DESA SATU",18,0,0
"2025-07","T110","BHP DESA JAYA",17,1,0
"2025-07","T110","BUKIT DESA UTAMA (SELATAN)",11,8,0
"2025-07","T110","DESA AMAN PURI (SELATAN)",18,0,0
"2025-07","T110","DESA AMAN PURI (UTARA)",18,0,0
"2025-07","T110","DESA JAYA (BARAT)",19,0,0
"2025-07","T110","FLAT SRI CEMARA",18,0,0
"2025-07","T110","KAFA INTEGRASI Al MUHAJIRIN (OPP)",17,0,0
"2025-07","T110","PERINDUSTRIAN EHSAN JAYA",16,2,0
"2025-07","T110","PERUMAHAN MAHOGANI SD1/6",17,0,0
"2025-07","T110","PUSAT KOMUNITI TAMAN EHSAN",19,0,0
"2025-07","T110","S.K. BANDAR BARU SRI DAMANSARA (OPP)",17,0,0
"2025-07","T110","SEK. KEB. DESA AMANPURI",3,14,0
"2025-07","T110","TAMAN EHSAN (SELATAN)",19,0,0
"2025-07","T110","TAMAN EHSAN (TIMUR)",19,0,0
"2025-07","T111","(M1) KAWASAN INDUSTRI TAMAN EHSAN",22,0,0
"2025-07","T111","APARTMENT HIJAU RIA",20,0,0
"2025-07","T111","BHP DESA JAYA",19,2,0
"2025-07","T111","DESA JAYA (BARAT)",22,0,0
"2025-07","T111","FLAT TAMAN INDAH PERDANA",8,7,1
"2025-07","T111","KG KEPONG ULU",20,0,0
"2025-07","T111","KOMERSIAL TAMAN EHSAN",22,0,0
"2025-07","T111","PADANG BOLA TAMAN EHSAN",21,0,1
"2025-07","T111","PASAR MODEN TAMAN EHSAN",22,0,0
"2025-07","T111","PERUMAHAN TAMAN EHSAN JLN E3/1",20,0,0
"2025-07","T111","PERUMAHAN TAMAN EHSAN JLN E5/1",19,0,0
"2025-07","T111","PERUMAHAN TAMAN EHSAN JLN E5/2 (OPP)",21,0,0
"2025-07","T111","PUSAT KOMUNITI TAMAN EHSAN",22,0,0
"2025-07","T111","S.M.K. TAMAN EHSAN",21,0,0
"2025-07","T111","SMK KEPONG (OPP)",20,0,0
"2025-07","T111","TAMAN WARISAN FRIM",4,17,0
"2025-07","T112","(M1) PERINDUSTRIAN TAMAN KEPONG",24,0,0
"2025-07","T112","KEPONG B.C",23,0,0
"2025-07","T112","KOMPLEKS DESA JAYA (OPP)",23,0,0
"2025-07","T112","KTM KEPONG",24,0,0
"2025-07","T112","MASJID AMANIAH KEPONG",24,0,0
"2025-07","T112","PANGSAPURI MUTIARA MAGNA",24,0,0
"2025-07","T112","PEMADAM KAW. PARLIMEN KEPONG",24,0,0
"2025-07","T112","PERUMAHAN KEPONG GARDEN",24,0,0
"2025-07","T112","WISMA CARITAS",24,0,0
"2025-07","T113","(M1) SRI EDARAN INDUSTRIAL PARK",15,0,0
"2025-07","T113","AEON BIG KEPONG",15,0,0
"2025-07","T113","KAWASAN PERUSAHAAN METRO PERDANA",15,0,0
"2025-07","T113","KOMERSIAL FORTUNE PERDANA",15,0,0
"2025-07","T113","KOMERSIAL METRO PERDANA",13,0,0
"2025-07","T113","PPR PEKAN KEPONG BLOK B",15,0,0
"2025-07","T113","PPR PEKAN KEPONG BLOK C",13,2,0
"2025-07","T113","RESIDENSI FORTUNE PERDANA",15,0,0
"2025-07","T113","TAMAN PERMAINAN METRO PERDANA",15,0,0
"2025-07","T114","(M1) PEJ. JKR DAERAH GOMBAK (OPP)",2,0,0
"2025-07","T114","APARTMENT HIJAU RIA",1,0,0
"2025-07","T114","CASA MILA",2,0,0
"2025-07","T114","CASA VENICIA (OPP)",1,0,0
"2025-07","T114","DATARAN BANDAR BARU SELAYANG",2,0,0
"2025-07","T114","FRIM",2,0,0
"2025-07","T114","IDAMAN HILLS",1,0,0
"2025-07","T114","IPD GOMBAK",2,0,0
"2025-07","T114","IPD GOMBAK (OPP)",0,0,1
"2025-07","T114","KOMERSIAL SELAYANG UTAMA",1,0,0
"2025-07","T114","KUARTERS FRIM",2,0,0
"2025-07","T114","MAJLIS PEPERIKSAAN MALAYSIA",1,1,0
"2025-07","T114","MAJLIS PEPERIKSAAN MALAYSIA (OPP)",0,1,0
"2025-07","T114","ONE SIERRA",2,0,0
"2025-07","T114","PANGSAPURI MERAK",1,0,0
"2025-07","T114","PANGSAPURI MERAK (OPP)",2,0,0
"2025-07","T114","PERDANA RESIDENCE",1,0,0
"2025-07","T114","PERUMAHAN SELAYANG UTAMA 50",2,0,0
"2025-07","T114","RESIDENSI FORTUNE PERDANA",1,0,0
"2025-07","T114","RESIDENSI KEPONGMAS",1,0,0
"2025-07","T114","RESIDENSI KEPONGMAS (OPP)",1,0,0
"2025-07","T114","S.K. SELAYANG UTAMA",2,0,0
"2025-07","T114","SHELL TAMAN BIDARA",2,0,0
"2025-07","T114","SURAU AL-FIRDAUS TMN BIDARA",1,0,0
"2025-07","T114","TAMAN BIDARA (UTARA)",3,0,0
"2025-07","T114","TAMAN DAYA",0,2,0
"2025-07","T114","TAMAN KEPONG INDAH",1,0,0
"2025-07","T114","TAMAN SELAYANG (BARAT)",1,0,0
"2025-07","T114","TAMAN USAHAWAN KEPONG",1,0,0
"2025-07","T114","TAMAN WARISAN FRIM",1,0,0
"2025-07","T115","(M1) BALAI POLIS SEGAMBUT",3,0,0
"2025-07","T115","KAW. INDUSTRI KEPONG BARU",2,0,0
"2025-07","T115","KOMERSIAL JLN HELANG BELALANG",3,0,0
"2025-07","T115","KOMERSIAL KEPONG BARU TAMBAHAN",1,2,0
"2025-07","T115","KONDOMINIUM MULBERI",2,1,0
"2025-07","T115","PANGSAPURI ANGSA",3,0,0
"2025-07","T115","PERSIMPANGAN JLN BUBUT",3,0,0
"2025-07","T115","PERSIMPANGAN JLN PELANDUK",3,0,0
"2025-07","T115","PERUMAHAN JLN ANTOI KIRI",2,0,0
