"month","route_id","stop_name","on time","late","early"
"2025-04","T100","(M1) UITM SG BULOH (OPP)",15,0,0
"2025-04","T100","HOSPITAL SG BULOH PINTU B",18,0,0
"2025-04","T100","HOSPITAL SG BULOH PINTU B (OPP)",20,0,0
"2025-04","T100","HOSPITAL SG BULOH PINTU D",17,1,0
"2025-04","T100","HOSPITAL SG BULOH PINTU D (OPP)",20,0,0
"2025-04","T100","KOLEJ SAINS BERSEKUTU KESIHATAN",18,0,0
"2025-04","T100","KOLEJ SAINS BERSEKUTU KESIHATAN (OPP)",19,0,0
"2025-04","T100","MASJID HOSPITAL SUNGAI BULOH",17,0,0
"2025-04","T100","PUSAT KUSTA NEGARA",19,0,0
"2025-04","T100","SMK SIERRAMAS",15,3,0
"2025-04","T100","SMK SIERRAMAS (Opp)",20,0,0
"2025-04","T100","STELLARS GROCER",20,0,0
"2025-04","T100","STELLARS GROCER (OPP)",18,0,0
"2025-04","T100","UITM SG BULOH",17,0,0
"2025-04","T101","(M1) ASCOT HILL",8,0,9
"2025-04","T101","BRP 4 PUTRA JATI",23,0,0
"2025-04","T101","BRP 4 PUTRA UTAMA",25,0,0
"2025-04","T101","DATARAN VILLA PUTRA",25,0,0
"2025-04","T101","DEWAN MERANTI",25,0,0
"2025-04","T101","KG MELAYU BT 13 (1)",26,0,0
"2025-04","T101","KG MELAYU BT 13 (2)",26,0,0
"2025-04","T101","KG MELAYU BT 13 (3)",26,0,0
"2025-04","T101","KG MELAYU BT 13 (4)",26,0,0
"2025-04","T101","PASAR DAN BAZAR BBSB",25,0,0
"2025-04","T101","PERINDUSTRIAN BRP 8",25,0,0
"2025-04","T101","PERUMAHAN 1C/4",25,0,0
"2025-04","T101","PERUMAHAN 1D/1",25,0,0
"2025-04","T101","PERUMAHAN BRP 5",10,0,15
"2025-04","T101","PERUMAHAN BRP 6",25,0,0
"2025-04","T101","PERUMAHAN BRP 7",23,1,1
"2025-04","T101","PUSAT KOMERSIAL TSB",23,0,0
"2025-04","T101","SK SG BULOH (OPP)",23,3,0
"2025-04","T101","STELLARS GROCER",23,3,0
"2025-04","T101","SURAU Al-IKHWAN",25,0,0
"2025-04","T101","TAMAN TASIK BBSB",20,0,3
"2025-04","T102","(M1) KAWASAN REKREASI AMAN PUTRI",5,0,8
"2025-04","T102","(M2) KUARTERS JKR UNIT TENTERA (OPP)",14,0,0
"2025-04","T102","(M3) SIMPANG FFM",13,0,0
"2025-04","T102","BALAIRAYA KG PAYA JARAS",11,0,0
"2025-04","T102","BALAIRAYA KG PAYA JARAS (OPP)",13,0,0
"2025-04","T102","BALAIRAYA KG PAYA JARAS HILIR (OPP)",13,0,0
"2025-04","T102","BANDAR BARU SUNGAI BULOH",12,0,0
"2025-04","T102","BT. 17 KG. MERBAU SEMPAK",12,0,0
"2025-04","T102","DEPOT SIMPANAN PERTAHANAN",13,1,0
"2025-04","T102","KEM PAYA JARAS",11,0,0
"2025-04","T102","KG KUBU GAJAH",13,0,0
"2025-04","T102","KOMERSIAL AMAN PUTRI (BARAT)",13,0,0
"2025-04","T102","KOMERSIAL AMAN PUTRI (TIMUR)",10,0,3
"2025-04","T102","KOMPLEKS PERNIAGAAN SIMPANG GAJAH 12",14,0,0
"2025-04","T102","KUARTERS ATM KEM PAYA JARAS",11,0,0
"2025-04","T102","KUARTERS ATM KEM PAYA JARAS (OPP)",14,0,0
"2025-04","T102","KUARTERS DEPOT SIMPANAN PERTAHANAN",12,0,0
"2025-04","T102","KUARTERS DEPOT SIMPANAN PERTAHANAN (OPP)",12,0,0
"2025-04","T102","KUARTERS JKR UNIT TENTERA",12,0,0
"2025-04","T102","LOT 1770",11,0,0
"2025-04","T102","LOT 1771",14,0,0
"2025-04","T102","MASJID KG KUBU GAJAH (SELATAN)",13,0,0
"2025-04","T102","MASJID KG KUBU GAJAH (UTARA)",14,0,0
"2025-04","T102","MASJID KG MERBAU SEMPAK",13,0,0
"2025-04","T102","PERSIMPANGAN JLN KG KUBU GAJAH",6,0,7
"2025-04","T102","PERSIMPANGAN JLN. MERBAU SEMPAK",13,0,0
"2025-04","T102","PERUMAHAN AMAN SURIA (SELATAN)",13,0,0
"2025-04","T102","PERUMAHAN AMAN SURIA (UTARA)",9,4,0
"2025-04","T102","PINGGIRAN SG. BULOH",11,0,0
"2025-04","T102","PUSAT KOMERSIAL TSB",11,1,0
"2025-04","T102","RUMAH LOT 2876",13,0,0
"2025-04","T102","RUMAH LOT 2876 (OPP)",14,0,0
"2025-04","T102","S.R.A MERBAU SEMPAK",13,0,0
"2025-04","T102","SIMPANG GAJAH 11",12,0,0
"2025-04","T102","SIMPANG GAJAH 14 (BARAT)",14,0,0
"2025-04","T102","SIMPANG GAJAH 14 (TIMUR)",13,0,0
"2025-04","T102","SIMPANG GAJAH 15",12,0,0
"2025-04","T102","SIMPANG GAJAH 16",14,0,0
"2025-04","T102","SIMPANG GAJAH 21",14,0,0
"2025-04","T102","SIMPANG GAJAH 23",14,0,0
"2025-04","T102","SIMPANG GAJAH 3",14,0,0
"2025-04","T102","SIMPANG GAJAH 6",13,0,0
"2025-04","T102","SIMPANG GAJAH 9",13,0,0
"2025-04","T102","SIMPANG JLN RAHIDIN",10,0,4
"2025-04","T102","SIMPANG LORONG 10 (SELATAN)",12,0,0
"2025-04","T102","SIMPANG LORONG 10 (UTARA)",14,0,0
"2025-04","T102","SIMPANG LORONG 5",13,0,0
"2025-04","T102","SIMPANG LORONG 6",13,0,0
"2025-04","T102","SIMPANG Y KUBU GAJAH",14,0,0
"2025-04","T102","SME AEROSPACE",4,0,9
"2025-04","T102","SMK BANDAR BARU SG BULOH",12,0,0
