"month","route_short_name","route_long_name","route_id","stop_name","early","late","on time"
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","(M) PJ435 WISMA MCIS",1,1,34
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","(M) PJ437 LRT ASIA JAYA",0,1,36
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ133 SHERATON PJ",0,22,10
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ138 PJS 4 (TIMUR)",0,0,7
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ139 PJS 4 (BARAT)",0,0,18
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ140 PJCC",0,0,20
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ141 PJ SOUTH CITY",0,0,21
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ143 SURAU MADRASATUL IMANIYA",0,0,22
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ210 HOTEL LISA DE INN",6,0,31
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ211 FLAT SEKSYEN 17 (SELATAN)",0,0,36
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ212 JAYA ONE MALL (OPP)",0,2,33
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ237 PUSAT ASASI UIA (SELATAN)",0,5,27
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ238 MASJID KOLEJ ISLAM",0,0,21
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ245 SMK SULTAN ABD SAMAD (TIMUR)",0,1,27
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ247 MAHSA UNIVERSITY (TIMUR)",3,1,32
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ248 PPUM MAIN GATE",0,2,31
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ249 PPUM (UTARA)",0,1,34
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ278 DIGITAL MALL SEKSYEN 14",0,0,36
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ302 QUILL 9",0,0,34
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ412 APT INAI COURT",5,1,15
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ413 UITM PJ (OPP)",0,0,24
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ415 TERMINAL BAS (OPP)",0,0,24
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ432 WISMA PERKESO (OPP)",0,0,19
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ434 DEWAN SIVIK MBPJ",3,0,26
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ439 SK SRI PETALING (OPP)",0,0,34
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ445 LRT TAMAN JAYA",26,2,1
"2025-07","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ448 SMK (P) ASSUNTA (OPP)",1,0,30
