"month","route_short_name","route_long_name","route_id","stop_name","on time","late","early"
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","(M) PJ435 WISMA MCIS",34,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","(M) PJ437 LRT ASIA JAYA",34,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ133 SHERATON PJ",9,17,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ138 PJS 4 (TIMUR)",22,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ139 PJS 4 (BARAT)",28,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ140 PJCC",27,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ141 PJ SOUTH CITY",25,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ143 SURAU MADRASATUL IMANIYA",28,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ210 HOTEL LISA DE INN",22,0,12
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ211 FLAT SEKSYEN 17 (SELATAN)",29,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ212 JAYA ONE MALL (OPP)",29,3,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ237 PUSAT ASASI UIA (SELATAN)",23,8,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ238 MASJID KOLEJ ISLAM",19,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ245 SMK SULTAN ABD SAMAD (TIMUR)",27,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ247 MAHSA UNIVERSITY (TIMUR)",26,0,4
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ248 PPUM MAIN GATE",27,2,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ249 PPUM (UTARA)",28,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ278 DIGITAL MALL SEKSYEN 14",34,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ302 QUILL 9",33,0,1
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ412 APT INAI COURT",9,4,9
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ413 UITM PJ (OPP)",26,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ415 TERMINAL BAS (OPP)",24,0,2
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ432 WISMA PERKESO (OPP)",25,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ434 DEWAN SIVIK MBPJ",27,0,5
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ439 SK SRI PETALING (OPP)",33,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ445 LRT TAMAN JAYA",1,1,24
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ448 SMK (P) ASSUNTA (OPP)",26,0,1
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ456 PERPUSTAKAAN KOMUNITI PJ (OPP)",26,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ460 KOMPLEKS ARENA PJ (OPP)",26,0,0
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ472 PJ CHURCH",19,6,1
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ474 SK LA SALLE (SELATAN)",17,0,11
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ730 FLAT DESA MENTARI",25,0,1
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ731 KTM KG DATO HARUN (UTARA)",23,0,1
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ733 TAMAN MAJU JAYA",4,0,18
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ734 TAMAN PETALING UTAMA",12,3,10
"2025-04","PJ01","Terminal Taman Medan ~ Stesen LRT Taman Jaya","P0010","PJ84 PJ WALK",0,0,27
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","(M) PJ437 LRT ASIA JAYA",6,0,16
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ210 HOTEL LISA DE INN",16,0,4
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ211 FLAT SEKSYEN 17 (SELATAN)",20,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ212 JAYA ONE MALL (OPP)",20,1,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ237 PUSAT ASASI UIA (SELATAN)",19,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ238 MASJID KOLEJ ISLAM",16,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ245 SMK SULTAN ABD SAMAD (TIMUR)",9,0,9
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ247 MAHSA UNIVERSITY (TIMUR)",13,0,7
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ251 UNIVERSITY TOWER",15,2,1
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ252 SK SULTAN ALAM SHAH 2",14,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ253 GERAK BUDAYA",9,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ278 DIGITAL MALL SEKSYEN 14",21,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ302 QUILL 9",18,1,3
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ312 MEDAN SELERA SEKSYEN 19",19,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ313 KOMERSIAL SEKSYEN 19",21,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ347 KOMERSIAL SS2 (POH KONG)",20,0,1
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ349 MEDAN SELERA SEKSYEN 19",21,0,0
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ439 SK SRI PETALING (OPP)",16,0,4
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ443 YAYASAN CANCERLINK",11,0,4
"2025-04","PJ02","Stesen LRT Taman Jaya ~ PPUM via SS2 PJ","P0020","PJ712 BALAI POLIS SEAPARK",19,0,0
